,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,new_addition,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,conda_dependent_project_count,dockerhub_stars
44,LTB AMS,steady-state,"['python', 'jupyter']",,CURENT/ams,https://ltb.curent.org/,GPL-3,Dispatch Modeling and Simulation; Part of CURENT LTB.,https://github.com/CURENT/ams,2022-10-05 11:57:30,2024-01-31 18:40:12.000,2024-01-31 18:36:30,1230,355.0,3.0,2.0,34.0,1.0,3,3.0,1.0,15,True,ltbams,,https://ams.readthedocs.io/en/latest/,2024-01-31 18:40:12.000,0.8.5,,204.0,4.0,,,https://pypi.org/project/ltbams,2024-01-31 18:40:12.000,,204.0,,,,3.0,True,,,,,,,
45,Clarabel.jl,ops,['julia'],,oxfordcontrol/Clarabel.jl,https://github.com/oxfordcontrol/Clarabel.jl,Apache-2.0,Interior-point solver for convex conic optimisation in Julia.,https://github.com/oxfordcontrol/Clarabel.jl,2021-11-09 14:28:22,2024-01-25 09:52:21.000,2023-10-03 18:50:20,793,,15.0,5.0,109.0,38.0,145,11.0,3.0,14,True,,,https://oxfordcontrol.github.io/ClarabelDocs/stable/,2023-09-20 13:04:47.000,0.6.0,,,10.0,,,,,,,,,,3.0,True,,,,,,,
46,andes_gym,mrl,"['python', 'curent']",,cuihantao/andes_gym,https://github.com/cuihantao/andes_gym,GPL-3,ANDES RL Environment for OpenAI Gym.,https://github.com/cuihantao/andes_gym,2020-04-19 18:18:34,2023-08-11 02:11:35.000,2022-01-28 19:53:49,31,,92.0,3.0,1.0,,190,2.0,,13,True,andes,andes,,2023-08-11 02:11:35.000,1.8.10,,1098.0,110.0,1.0,,https://pypi.org/project/andes,2023-08-11 02:11:35.000,1.0,1098.0,https://anaconda.org/anaconda/andes,2022-11-01 01:00:45.000,,3.0,,,,,,6.0,,
47,PyPSA-Eur-Sec,steady-state,['python'],,PyPSA/pypsa-eur-sec,https://pypsa.org,MIT,Sector-Coupled Optimisation Model of the European Energy System.,https://github.com/PyPSA/pypsa-eur-sec,2019-04-17 15:43:45,2023-06-25 18:14:35.000,2023-03-18 12:51:31,1055,,48.0,16.0,198.0,,82,22.0,73.0,13,True,,,https://pypsa-eur-sec.readthedocs.io/en/latest/?badge=latest,2023-02-16 20:39:50.000,0.7.0,,,7.0,,,,,,,,,,3.0,,,,,,-4.0,,
48,PowerSystems,phasor,,,modelica-3rdparty/PowerSystems,https://github.com/modelica-3rdparty/PowerSystems,https://modelica.org/licenses/ModelicaLicense2/,Modelica 3rd party library for electrical power systems.,https://github.com/modelica-3rdparty/PowerSystems,2013-04-19 08:46:45,2023-03-20 17:22:14.000,2023-03-20 17:17:24,189,,35.0,30.0,17.0,27.0,57,10.0,10.0,13,True,,,https://build.openmodelica.org/Documentation/PowerSystems.html,2023-03-20 16:24:10.000,1.0.1,,,6.0,,,,,,,,,,3.0,,,,,,,,
49,PowerGraphics,vis,['julia'],,NREL-Sienna/powergraphics.jl,https://www.nrel.gov/analysis/siip.html,BSD-3,Visualization for PowerSimulations; Part of the SIIP at NREL.,https://github.com/NREL-Sienna/PowerGraphics.jl,2020-02-19 23:29:27,2024-01-29 00:01:47.000,2023-09-16 04:58:49,539,,9.0,9.0,78.0,20.0,23,9.0,15.0,13,True,,,https://nrel-siip.github.io/PowerSimulationsDynamics.jl/stable/,2023-09-16 05:24:50.000,0.16.0,,,37.0,,,,,,,,,,1.0,,,,,,,,
50,STEPS,phasor,,,changgang/steps,https://github.com/changgang/steps,MIT,Balanced large-scale AC-DC hybrid power system analysis.,https://github.com/changgang/steps,2019-08-24 12:09:47,2024-01-25 13:40:51.000,2023-10-16 11:50:08,556,,15.0,4.0,,1.0,40,4.0,1.0,12,True,,,https://github.com/changgang/steps/wiki/,2023-10-16 12:20:36.000,2.0.0,17.0,0.0,5.0,5.0,5.0,,,,,,,,3.0,,,,,,,,
51,DSSData,intf,['python'],,felipemarkson/dssdata,https://github.com/felipemarkson/dssdata,MIT,A micro-framework for simulation and data analysis of distribution systems modeled on OpenDSS.,https://github.com/felipemarkson/dssdata,2020-03-27 20:15:33,2023-04-10 13:02:09.000,2023-04-10 13:02:03,186,,3.0,3.0,64.0,31.0,14,2.0,5.0,11,True,dssdata,,https://felipemarkson.github.io/dssdata/,2023-04-10 12:47:00.587,0.2.0,30.0,34.0,10.0,,,https://pypi.org/project/dssdata,2023-01-24 14:40:53.571,,34.0,,,,3.0,,,,,,,,
52,RLGC,mrl,"['python', 'jupyter']",,RLGC-Project/RLGC,https://github.com/RLGC-Project/RLGC,BSD,RL for Grid Control (RLGC).,https://github.com/RLGC-Project/RLGC,2018-12-03 19:07:39,2022-04-08 07:14:43.000,2022-04-08 07:12:43,90,,27.0,4.0,3.0,10.0,100,4.0,5.0,9,True,,,,2020-12-23 06:10:29.000,V1.0.0_RC,,,2.0,,,,,,,,,,3.0,,,,,,,,
53,ParaEMT,emt,['python'],,NREL/ParaEMT_public,https://github.com/NREL/ParaEMT_public,BSD-3,Parallel EMT simulation.,https://github.com/NREL/ParaEMT_public,2023-06-08 12:43:21,2023-12-15 16:49:56.000,2023-12-15 16:49:56,67,3.0,8.0,7.0,,,26,3.0,,9,True,,,,,,,,,,,,,,,,,,1.0,True,,,,,,,
54,PowerSAS.m,phasor,,,ANL-CEEESA/powersas.m,https://github.com/ANL-CEEESA/powersas.m,BSD-3,Power grid analysis framework based on semi-analytical solutions.,https://github.com/ANL-CEEESA/powersas.m,2021-12-10 21:25:47,2024-01-05 12:21:48.000,2024-01-05 12:21:48,75,5.0,4.0,,6.0,,13,4.0,1.0,8,True,,,,,,,,,,,,,,,,,,3.0,,,,,,,,
55,LTB AGVis,vis,['python'],,CURENT/agvis,https://ltb.curent.org/,GPL-3.0,Geographical Visualization for Power Grid; Part of CURENT LTB.,https://github.com/CURENT/agvis,2019-08-30 19:15:27,2024-01-31 03:20:38.000,2024-01-20 17:27:32,491,3.0,6.0,1.0,43.0,11.0,5,9.0,12.0,8,True,,,https://agvis.readthedocs.io/en/latest/,2023-08-03 15:12:50.000,3.2.1,9.0,0.0,2.0,,,,,,,,,,3.0,,,,,,,,
56,LTB DiME,msg,,,CURENT/dime,https://ltb.curent.org/,GPL-3.0,Distributed Messaging Environment; Part of CURENT LTB.,https://github.com/CURENT/dime,2020-04-29 20:36:10,2023-07-31 21:24:25.000,2023-07-31 21:24:15,531,,3.0,5.0,11.0,35.0,4,4.0,13.0,8,True,,,https://ltbdime.readthedocs.io/en/latest/,,,,,,,,,,,,,,,3.0,,,,,,,,
57,GSEIM,pe,['python'],,gseim/gseim,https://github.com/gseim/gseim,GPL-3.0,Interface Python to Ngspice and Xyce.,https://github.com/gseim/gseim,2021-06-08 11:11:31,2023-08-19 17:28:29.000,2023-08-19 17:26:55,52,,3.0,4.0,14.0,4.0,8,3.0,2.0,6,True,,,https://gseim.github.io/build/html/index.html,,,,,,,,,,,,,,,1.0,,,,,,,,
58,OpenHybridSim,phasor,,,OpenHybridSim/OpenHybridSim-code,https://github.com/OpenHybridSim/OpenHybridSim-code,BSD-3,Power system EMT-TS hybrid simulation.,https://github.com/OpenHybridSim/OpenHybridSim-code,2015-01-17 03:59:14,2020-05-05 20:35:13.000,2020-05-05 20:35:12,16,,5.0,5.0,,,7,,1.0,6,True,,,,,,,,,,,,,,,,,,3.0,,,,,,,,
59,EasySimauto.jl,intf,['julia'],,mzy2240/EasySimauto.jl,https://github.com/mzy2240/EasySimauto.jl,Apache-2.0,Julia interface for EasySimAuto and PowerWorld.,https://github.com/mzy2240/EasySimauto.jl,2022-09-16 15:59:20,2023-07-31 19:46:50.000,2023-07-31 19:46:46,15,,,1.0,,2.0,4,2.0,,3,True,,,,2022-09-27 15:08:27.000,0.1.0,,,1.0,,,,,,,,,,3.0,,,,,,,,
