,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,new_addition
43,PowerGenome,steady-state,['python'],,PowerGenome/PowerGenome,https://groups.io/g/powergenome,MIT,Create inputs for power systems models.,https://github.com/PowerGenome/PowerGenome,2019-07-18 17:33:40.000,2024-01-30 15:09:04.000,2023-11-22 04:11:02,1562.0,1.0,56.0,17.0,163.0,69.0,180.0,14.0,65.0,17,True,PowerGenome,conda-forge/powergenome,https://github.com/PowerGenome/PowerGenome/wiki,2023-09-08 17:28:41.000,0.6.1,,105.0,16.0,,,https://pypi.org/project/PowerGenome,2023-06-10 21:23:34.968,,39.0,https://anaconda.org/conda-forge/powergenome,2024-01-02 04:04:47.685,66.0,3.0,,,,,,,True
44,GenX,steady-state,['python'],,GenXProject/GenX,https://energy.mit.edu/genx/,GPL-2.0,Configurable capacity expansion model.,https://github.com/GenXProject/GenX,2021-05-19 17:57:57.000,2024-02-07 21:21:09.000,2024-02-03 02:12:17,829.0,4.0,89.0,16.0,398.0,175.0,218.0,24.0,50.0,16,True,,,https://genxproject.github.io/GenX/dev/,2023-08-01 19:35:41.000,0.3.6,,,9.0,,,,,,,,,,3.0,,,,,,,
45,PowerSimulationsDynamics.jl,phasor,['julia'],,NREL-Sienna/PowerSimulationsDynamics.jl,https://www.nrel.gov/analysis/sienna.html,BSD-3,Dynamic Power System simulations; NREL Sienna.,https://github.com/NREL-Sienna/PowerSimulationsDynamics.jl,2020-07-16 19:36:16.000,2024-02-02 15:40:26.000,2024-01-31 22:50:41,2395.0,8.0,31.0,13.0,220.0,87.0,147.0,13.0,41.0,16,True,,,https://nrel-sienna.github.io/PowerSimulationsDynamics.jl/stable,2024-01-05 22:53:57.000,0.13.0,,,38.0,,,,,,,,,,2.0,,,,,,,
46,OpenIPSL,phasor,,,OpenIPSL/OpenIPSL,https://github.com/OpenIPSL/OpenIPSL,BSD-3,A library of power system models written with Modelica.,https://github.com/OpenIPSL/OpenIPSL,2016-04-16 09:09:47.000,2024-01-19 20:18:05.000,2023-11-23 15:23:06,1770.0,3.0,47.0,20.0,226.0,99.0,65.0,32.0,16.0,16,True,,,https://doc.openipsl.org,2022-06-23 13:05:59.000,3.0.1,480.0,5.0,15.0,,,,,,,,,,2.0,,,,,,,
47,PIQP,ops,['python'],,PREDICT-EPFL/piqp,https://github.com/PREDICT-EPFL/piqp,BSD-2,Proximal Interior Point Quadratic Programming solver.,https://github.com/PREDICT-EPFL/piqp,2023-01-25 13:55:12.000,2024-02-05 13:18:11.000,2024-02-05 13:18:03,249.0,9.0,6.0,6.0,,2.0,46.0,1.0,3.0,16,True,piqp,conda-forge/piqp,https://predict-epfl.github.io/piqp/,2023-12-25 19:28:11.000,0.2.4,29.0,6557.0,9.0,10.0,5.0,https://pypi.org/project/piqp,2023-12-25 19:28:11.000,5.0,5013.0,https://anaconda.org/conda-forge/piqp,2023-12-25 21:00:54.971,9251.0,3.0,,,,,,,
48,Easy SimAuto,intf,['python'],,mzy2240/ESA,https://github.com/mzy2240/ESA,Apache-2.0,Python interface to PowerWorld.,https://github.com/mzy2240/ESA,2019-10-08 21:37:23.000,2023-06-05 21:16:13.000,2023-06-05 21:15:21,663.0,,9.0,5.0,15.0,83.0,40.0,11.0,16.0,16,True,esa,,https://mzy2240.github.io/ESA/html/index.html,2023-06-05 21:19:00.512,1.3.5,,1718.0,52.0,5.0,4.0,https://pypi.org/project/esa,2022-05-21 02:37:41.000,1.0,1718.0,,,,2.0,,,,,,,
49,PyDSS,intf,['python'],,NREL/PyDSS,https://www.nrel.gov/grid/pydss.html,BSD-3,A Python wrapper for OpenDSS.,https://github.com/NREL/PyDSS,2018-10-16 15:59:07.000,2024-02-06 00:06:40.000,2024-02-05 23:51:54,845.0,19.0,18.0,9.0,106.0,16.0,31.0,24.0,16.0,16,True,pydss,,https://nrel.github.io/PyDSS/index.html,2024-02-06 00:06:40.000,3.0.2,,21.0,17.0,2.0,2.0,https://pypi.org/project/pydss,2011-08-17 20:40:53.000,,21.0,,,,2.0,,,,,,,
50,py-dss-interface,intf,['python'],,PauloRadatz/py_dss_interface,https://github.com/PauloRadatz/py_dss_interface,MIT,A package for access to direct dll version of OpenDSS.,https://github.com/PauloRadatz/py_dss_interface,2020-06-12 18:58:36.000,2024-02-03 10:48:36.000,2024-02-03 10:48:14,529.0,1.0,8.0,6.0,48.0,21.0,22.0,6.0,33.0,16,True,py-dss-interface,,https://py-dss-interface.readthedocs.io/en/latest/,2023-06-05 13:49:01.111,2.0.2,,426.0,17.0,28.0,24.0,https://pypi.org/project/py-dss-interface,2021-12-07 21:43:33.000,4.0,426.0,,,,2.0,,,,,,,
51,EGRET,steady-state,['python'],,grid-parity-exchange/Egret,https://github.com/grid-parity-exchange/Egret,BSD,Tools for Power Systems Optimization Modeling.,https://github.com/grid-parity-exchange/Egret,2019-01-28 18:41:03.000,2024-01-09 17:41:31.000,2023-11-14 21:40:03,1061.0,3.0,46.0,13.0,233.0,38.0,115.0,38.0,44.0,15,True,,,,2023-04-03 23:11:48.000,0.5.5,,,6.0,6.0,6.0,,,,,,,,3.0,,,,,,,
52,GasModels.jl,gasnet,['julia'],,lanl-ansi/GasModels.jl,https://github.com/lanl-ansi/GasModels.jl,BSD-3,Gas Network Optimization.,https://github.com/lanl-ansi/GasModels.jl,2016-08-29 16:01:10.000,2024-01-31 06:41:25.000,2024-01-31 05:50:53,1037.0,25.0,15.0,9.0,113.0,98.0,62.0,13.0,48.0,15,True,,,https://lanl-ansi.github.io/GasModels.jl/latest/,2024-01-31 06:38:45.000,0.10.0,,,21.0,,,,,,,,,,3.0,,,,,,,
53,KVXOPT,opl,['python'],,sanurielf/kvxopt,https://github.com/sanurielf/kvxopt,GPL-3,CVXOPT with more wrappers suite-sparse.,https://github.com/sanurielf/kvxopt,2014-03-17 19:08:31.000,2024-02-05 20:02:10.248,2023-10-16 05:28:25,265.0,,1.0,3.0,3.0,6.0,10.0,18.0,1.0,15,True,kvxopt,conda-forge/kvxopt,https://sanurielf.github.io/kvxopt/userguide/,2023-10-16 05:45:01.000,1.3.2.0,,9566.0,18.0,23.0,19.0,https://pypi.org/project/kvxopt,2023-10-16 17:59:24.000,4.0,6127.0,https://anaconda.org/conda-forge/kvxopt,2024-02-05 20:02:10.248,96307.0,3.0,,,,,,,True
54,LTB AMS,steady-state,"['python', 'jupyter']",,CURENT/ams,https://ltb.curent.org/,GPL-3,Dispatch Modeling and Simulation; CURENT LTB.,https://github.com/CURENT/ams,2022-10-05 11:57:30.000,2024-02-03 15:42:19.000,2024-01-31 18:36:30,1230.0,313.0,3.0,2.0,34.0,1.0,3.0,3.0,1.0,15,True,ltbams,,https://ams.readthedocs.io/en/latest/,2024-01-31 18:40:12.000,0.8.5,,220.0,4.0,,,https://pypi.org/project/ltbams,2024-01-31 18:40:12.000,,220.0,,,,3.0,,,,,,,
55,Clarabel.jl,ops,['julia'],,oxfordcontrol/Clarabel.jl,https://github.com/oxfordcontrol/Clarabel.jl,Apache-2.0,Interior-point solver for convex conic optimisation in Julia.,https://github.com/oxfordcontrol/Clarabel.jl,2021-11-09 14:28:22.000,2024-01-25 09:52:21.000,2023-10-03 18:50:20,793.0,,15.0,5.0,109.0,38.0,145.0,11.0,3.0,14,True,,,https://oxfordcontrol.github.io/ClarabelDocs/stable/,2023-09-20 13:04:47.000,0.6.0,,,10.0,,,,,,,,,,3.0,,,,,,,
56,PowerGraphics.jl,vis,['julia'],,NREL-Sienna/powergraphics.jl,https://www.nrel.gov/analysis/sienna.html,BSD-3,Visualization for PowerSimulations; NREL Sienna.,https://github.com/NREL-Sienna/PowerGraphics.jl,2020-02-19 23:29:27.000,2024-02-08 16:33:58.000,2023-09-16 04:58:49,539.0,,9.0,9.0,78.0,21.0,23.0,9.0,15.0,14,True,,,https://nrel-sienna.github.io/PowerGraphics.jl/stable/,2023-09-16 05:24:50.000,0.16.0,,,37.0,,,,,,,,,,3.0,,,,,,,True
57,PyPSA-Eur-Sec,steady-state,['python'],,PyPSA/pypsa-eur-sec,https://pypsa.org,MIT,Sector-Coupled Optimisation Model of the European Energy System.,https://github.com/PyPSA/pypsa-eur-sec,2019-04-17 15:43:45.000,2023-06-25 18:14:35.000,2023-03-18 12:51:31,1055.0,,48.0,16.0,198.0,,82.0,22.0,73.0,13,True,,,https://pypsa-eur-sec.readthedocs.io/en/latest/?badge=latest,2023-02-16 20:39:50.000,0.7.0,,,7.0,,,,,,,,,,3.0,,,,,,,
58,PowerSystems,phasor,,,modelica-3rdparty/PowerSystems,https://github.com/modelica-3rdparty/PowerSystems,https://modelica.org/licenses/ModelicaLicense2/,Modelica 3rd party library for electrical power systems.,https://github.com/modelica-3rdparty/PowerSystems,2013-04-19 08:46:45.000,2023-03-20 17:22:14.000,2023-03-20 17:17:24,189.0,,35.0,30.0,17.0,27.0,57.0,10.0,10.0,13,True,,,https://build.openmodelica.org/Documentation/PowerSystems.html,2023-03-20 16:24:10.000,1.0.1,,,6.0,,,,,,,,,,3.0,,,,,,,
59,OpenDER,phasor,['python'],,epri-dev/OpenDER,https://www.epri.com/OpenDER,BSD-3,Inverter-based DER simulation.,https://github.com/epri-dev/OpenDER,2022-04-26 22:09:28.000,2024-01-25 17:55:37.000,2024-01-25 17:53:58,109.0,4.0,16.0,16.0,9.0,1.0,45.0,2.0,,12,True,opender,,,2024-01-25 17:55:37.000,2.1.3,,162.0,11.0,1.0,1.0,https://pypi.org/project/opender,2023-12-05 15:01:12.000,,162.0,,,,3.0,,,,,,,True
60,STEPS,phasor,,,changgang/steps,https://github.com/changgang/steps,MIT,Balanced large-scale AC-DC hybrid power system analysis.,https://github.com/changgang/steps,2019-08-24 12:09:47.000,2024-02-05 07:01:29.000,2023-10-16 11:50:08,556.0,,15.0,4.0,,1.0,40.0,4.0,1.0,12,True,,,https://github.com/changgang/steps/wiki/,2023-10-16 12:20:36.000,2.0.0,17.0,0.0,5.0,5.0,5.0,,,,,,,,3.0,,,,,,,
61,MOST,steady-state,,,MATPOWER/most,https://matpower.org/,BSD-3,MATPOWER Optimal Scheduling Tool.,https://github.com/MATPOWER/most,2016-12-16 19:10:43.000,2024-02-05 17:20:25.000,2024-02-05 17:07:54,216.0,3.0,10.0,6.0,8.0,23.0,30.0,,11.0,12,True,,,https://github.com/MATPOWER/most/blob/master/docs/MOST-manual.pdf,2022-12-13 22:26:09.000,1.2,,,4.0,,,,,,,,,,3.0,,,,,,,True
62,ReEDS-2.0,steady-state,['python'],,NREL/ReEDS-2.0,https://www.nrel.gov/analysis/reeds/,GPL-3.0,Capacity planning and dispatch model.,https://github.com/NREL/ReEDS-2.0,2019-05-28 15:57:01.000,2024-02-07 18:18:24.000,2024-01-11 15:29:49,57.0,9.0,8.0,141.0,20.0,14.0,104.0,13.0,4.0,11,True,,,https://www.nrel.gov/docs/fy21osti/78195.pdf,2024-02-07 18:18:24.000,2024.0.0,,,1.0,,,,,,,,,,3.0,,,,,,,True
63,matpower-pip,steady-state,['python'],,yasirroni/matpower-pip,https://matpower.org/,MIT,Easy Python Access to MATPOWER.,https://github.com/yasirroni/matpower-pip,2021-12-27 15:47:13.000,2023-12-18 07:45:48.000,2023-12-18 07:45:21,142.0,1.0,,3.0,3.0,11.0,15.0,,,11,True,matpower,,https://matpower.org/doc/,2023-03-20 14:20:10.000,2.1.5,,188.0,16.0,5.0,4.0,https://pypi.org/project/matpower,2023-03-25 05:06:00.849,1.0,188.0,,,,3.0,,,,,,,True
64,DSSData,intf,['python'],,felipemarkson/dssdata,https://github.com/felipemarkson/dssdata,MIT,A micro-framework for simulation and data analysis of distribution systems modeled on OpenDSS.,https://github.com/felipemarkson/dssdata,2020-03-27 20:15:33.000,2023-04-10 13:02:09.000,2023-04-10 13:02:03,186.0,,3.0,3.0,64.0,31.0,14.0,2.0,5.0,11,True,dssdata,,https://felipemarkson.github.io/dssdata/,2023-04-10 12:47:00.587,0.2.0,30.0,51.0,10.0,,,https://pypi.org/project/dssdata,2023-01-24 14:40:53.571,,51.0,,,,3.0,,,,,,,
65,DeepSolar,data,['python'],,wangzhecheng/DeepSolar,https://deepsolar.web.app,MIT,Houseshold-level solar panel identification with deep learning.,https://github.com/wangzhecheng/DeepSolar,2017-06-24 23:09:16.000,2023-03-24 22:39:39.000,2019-03-26 09:03:56,16.0,,65.0,22.0,15.0,4.0,241.0,2.0,13.0,9,True,,,,,,,,,,,,,,,,,,3.0,,,,,,,True
66,RLGC,mrl,"['python', 'jupyter']",,RLGC-Project/RLGC,https://github.com/RLGC-Project/RLGC,BSD,RL for Grid Control (RLGC).,https://github.com/RLGC-Project/RLGC,2018-12-03 19:07:39.000,2022-04-08 07:14:43.000,2022-04-08 07:12:43,90.0,,27.0,4.0,3.0,10.0,100.0,4.0,5.0,9,True,,,,2020-12-23 06:10:29.000,V1.0.0_RC,,,2.0,,,,,,,,,,3.0,,,,,,,
67,ParaEMT,emt,['python'],,NREL/ParaEMT_public,https://github.com/NREL/ParaEMT_public,BSD-3,Parallel EMT simulation.,https://github.com/NREL/ParaEMT_public,2023-06-08 12:43:21.000,2023-12-15 16:49:56.000,2023-12-15 16:49:56,67.0,3.0,8.0,7.0,,,26.0,3.0,,9,True,,,,,,,,,,,,,,,,,,3.0,,,,,,,
68,PowerSAS.m,phasor,,,ANL-CEEESA/powersas.m,https://github.com/ANL-CEEESA/powersas.m,BSD-3,Power grid analysis framework based on semi-analytical solutions.,https://github.com/ANL-CEEESA/powersas.m,2021-12-10 21:25:47.000,2024-01-05 12:21:48.000,2024-01-05 12:21:48,75.0,5.0,4.0,,6.0,,13.0,4.0,1.0,8,True,,,,,,,,,,,,,,,,,,3.0,,,,,,,
69,LTB AGVis,vis,['python'],,CURENT/agvis,https://ltb.curent.org/,GPL-3.0,Geographical Visualization for Power Grid; CURENT LTB.,https://github.com/CURENT/agvis,2019-08-30 19:15:27.000,2024-02-05 18:58:20.000,2024-01-20 17:27:32,491.0,3.0,6.0,1.0,44.0,11.0,5.0,9.0,13.0,8,True,,,https://agvis.readthedocs.io/en/latest/,2023-08-03 15:12:50.000,3.2.1,9.0,0.0,2.0,,,,,,,,,,3.0,,,,,,,
70,LTB DiME,msg,,,CURENT/dime,https://ltb.curent.org/,GPL-3.0,Distributed Messaging Environment; CURENT LTB.,https://github.com/CURENT/dime,2020-04-29 20:36:10.000,2023-07-31 21:24:25.000,2023-07-31 21:24:15,531.0,,3.0,5.0,11.0,35.0,4.0,4.0,13.0,8,True,,,https://ltbdime.readthedocs.io/en/latest/,,,,,,,,,,,,,,,3.0,,,,,,,
71,GSEIM,pe,['python'],,gseim/gseim,https://github.com/gseim/gseim,GPL-3.0,Interface Python to Ngspice and Xyce.,https://github.com/gseim/gseim,2021-06-08 11:11:31.000,2023-08-19 17:28:29.000,2023-08-19 17:26:55,52.0,,3.0,4.0,14.0,4.0,8.0,3.0,2.0,7,True,GSEIM,,https://gseim.github.io/build/html/index.html,,,,9.0,5.0,,,https://pypi.org/project/GSEIM,2022-07-16 09:00:00.315,,9.0,,,,1.0,,,,,,,
72,OpenHybridSim,phasor,,,OpenHybridSim/OpenHybridSim-code,https://github.com/OpenHybridSim/OpenHybridSim-code,BSD-3,Power system EMT-TS hybrid simulation.,https://github.com/OpenHybridSim/OpenHybridSim-code,2015-01-17 03:59:14.000,2020-05-05 20:35:13.000,2020-05-05 20:35:12,16.0,,5.0,5.0,,,7.0,,1.0,6,True,,,,,,,,,,,,,,,,,,3.0,,,,,,,
73,mypower,steady-state,['python'],,yasirroni/mypower,https://github.com/yasirroni/mypower,MIT,Supplementary function of MATPOWER in Python.,https://github.com/yasirroni/mypower,2020-03-09 07:23:38.000,2022-11-26 22:27:49.000,2022-11-26 22:27:22,39.0,,1.0,3.0,3.0,,6.0,,,6,True,,,,,,,,,,,,,,,,,,3.0,,,,,,,True
74,andes_gym,mrl,['python'],,cuihantao/andes_gym,https://github.com/cuihantao/andes_gym,GPL-3,ANDES RL Environment for OpenAI Gym.,https://github.com/cuihantao/andes_gym,2020-04-19 18:18:34.000,2022-01-28 19:53:49.000,2022-01-28 19:53:49,31.0,,4.0,3.0,1.0,,7.0,2.0,,5,True,,,,,,,,,,,,,,,,,,3.0,-8.0,,,,,,
75,OpenDER interface,intf,"['python', 'jupyter']",,epri-dev/OpenDER_interface,https://www.epri.com/OpenDER,BSD-3,Interface for OpenDER.,https://github.com/epri-dev/OpenDER_interface,2023-11-28 15:57:02.000,2023-12-12 18:34:21.000,2023-12-12 18:34:11,35.0,7.0,,8.0,,,,2.0,,5,True,,,,,,,,,,,,,,,,,,3.0,,,,,,,True
76,WECC-and-NPCC-Electricity-Economic-Data,data,['python'],,enliten/ENLITEN-Grid-Econ-Data,https://github.com/enliten/ENLITEN-Grid-Econ-Data,GPL-3,Economic data on WECC and NPCC.,https://github.com/enliten/ENLITEN-Grid-Econ-Data,2022-12-05 19:17:45.000,2023-09-06 16:45:21.000,2023-09-06 16:44:52,40.0,,2.0,2.0,,,5.0,3.0,,4,True,,,,2022-12-06 05:06:06.000,WECC-and-NPCC,,,1.0,,,,,,,,,,3.0,,,,,,,True
77,EasySimauto.jl,intf,['julia'],,mzy2240/EasySimauto.jl,https://github.com/mzy2240/EasySimauto.jl,Apache-2.0,Julia interface for EasySimAuto and PowerWorld.,https://github.com/mzy2240/EasySimauto.jl,2022-09-16 15:59:20.000,2023-07-31 19:46:50.000,2023-07-31 19:46:46,15.0,,,1.0,,2.0,4.0,2.0,,3,True,,,,2022-09-27 15:08:27.000,0.1.0,,,1.0,,,,,,,,,,3.0,,,,,,,
78,OpenDSS,phasor,,,,https://www.epri.com/pages/sa/opendss,BSD,Distribution system simulator.,,,,,,,,,,,,,,2,True,,,https://opendss.epri.com/opendss_documentation.html,,,,,,,,,,,,,,,3.0,,,,,,,True
