,name,category,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,labels,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,trending,updated_github_id
46,PowSyBl Core,steady-state,,powsybl/powsybl-core,MPL-2.0,Framework to build power system software.,https://github.com/powsybl/powsybl-core,https://www.powsybl.org,2017-09-29 14:51:18,2025-04-24 14:48:16.000000,2025-04-22 10:53:27,3440.0,45.0,294.0,133.0,117.0,24,True,https://www.javadoc.io/doc/com.powsybl/powsybl-core/latest/,21.0,2841.0,357.0,2025-03-25 15:43:53.000,6.7.0,100.0,64.0,"['gha', 'java']",,,,,89.0,89.0,,,,,,,,2.0,,,,,,,
47,PYPOWER,steady-state,,rwl/PYPOWER,BSD,Port of MATPOWER to Python.,https://github.com/rwl/PYPOWER,rwl.github.io/PYPOWER/api/,2009-05-22 12:14:47,2025-04-10 08:09:24.000000,2025-04-10 08:08:25,358.0,119.0,33.0,358.0,21.0,23,True,http://rwl.github.io/PYPOWER/index.html,24.0,45.0,12.0,2025-04-10 08:09:24.000,5.1.18,19.0,5.0,"['gha', 'pypi', 'conda', 'python']",PYPOWER,invenia/pypower,,20321.0,154.0,138.0,https://pypi.org/project/PYPOWER,2025-04-10 08:09:24.000,16.0,20287.0,https://anaconda.org/invenia/pypower,2025-03-25 16:27:17.396,3178.0,2.0,hwanghust/pypower,https://hub.docker.com/r/hwanghust/pypower,2019-05-19 07:28:05.197725,24.0,,,
48,Atlite,data,,PyPSA/atlite,BSD-2,Calculating Renewable Power Potentials.,https://github.com/PyPSA/atlite,https://pypsa.org,2016-11-03 23:59:25,2025-04-22 14:57:06.790000,2025-04-08 07:22:23,790.0,101.0,39.0,308.0,40.0,23,True,https://atlite.readthedocs.io/en/master/?badge=master,13.0,306.0,99.0,2025-01-30 11:12:40.000,0.4.0,20.0,9.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",atlite,conda-forge/atlite,,3649.0,98.0,98.0,https://pypi.org/project/atlite,2025-01-30 11:12:40.000,,2337.0,https://anaconda.org/conda-forge/atlite,2025-04-22 14:57:06.790,76120.0,2.0,,,,,,,
49,CBC,ops,,coin-or/Cbc,EPL-2.0,COIN-OR Branch-and-Cut solver.,https://github.com/coin-or/Cbc,https://www.coin-or.org/,2019-03-02 23:20:41,2025-04-22 14:56:23.098000,2025-04-16 10:55:28,2512.0,117.0,146.0,883.0,34.0,22,True,https://coin-or.github.io/Cbc/Doxygen/,40.0,79.0,364.0,2024-08-20 07:17:43.000,releases/2.10.12,14.0,7.0,"['gha', 'conda', 'python', 'julia', 'c']",,conda-forge/coincbc,45942.0,25032.0,,,,,,,https://anaconda.org/conda-forge/coincbc,2025-04-22 14:56:23.098,1316812.0,3.0,,,,,,,
50,Clp,ops,,coin-or/Cbc,EPL-2.0,COIN-OR Linear Programming Solver.,https://github.com/coin-or/Cbc,https://www.coin-or.org/,2019-03-02 23:20:41,2025-04-22 14:57:35.775000,2025-04-16 10:55:28,2512.0,117.0,146.0,883.0,34.0,22,True,https://coin-or.github.io/Clp/,40.0,79.0,364.0,2024-08-20 07:17:43.000,releases/2.10.12,11.0,7.0,"['gha', 'conda', 'python', 'julia', 'c']",,conda-forge/coin-or-clp,45942.0,18075.0,,,,,,,https://anaconda.org/conda-forge/coin-or-clp,2025-04-22 14:57:35.775,958566.0,3.0,,,,,,,
51,MATPOWER,steady-state,,MATPOWER/matpower,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,https://matpower.org/,2016-12-16 19:12:30,2025-04-24 17:33:29.000000,2025-04-16 01:40:49,2562.0,156.0,23.0,462.0,18.0,22,True,https://matpower.org/doc/,29.0,48.0,194.0,2024-05-17 23:07:00.000,8.0,5.0,23.0,"['gha', 'octave']",,,545190.0,7101.0,,,,,,,,,,2.0,matpower/matpower,https://hub.docker.com/r/matpower/matpower,2025-04-16 02:29:29.122802,2155.0,,,
52,PowerSimulations.jl,steady-state,,NREL-Sienna/PowerSimulations.jl,BSD-3,Power Systems optimization simulation and modeling; NREL Sienna.,https://github.com/NREL-Sienna/PowerSimulations.jl,https://www.nrel.gov/analysis/sienna.html,2017-11-03 21:11:22,2025-04-24 17:53:57.000000,2025-04-21 21:47:45,9424.0,68.0,70.0,290.0,40.0,22,True,https://nrel-sienna.github.io/PowerSimulations.jl/latest,18.0,886.0,335.0,2025-02-27 18:09:18.000,0.30.1,100.0,46.0,"['gha', 'julia']",,,,,,,,,,,,,,2.0,,,,,,,
53,LTB ANDES,phasor,,CURENT/andes,GPL-3,Transient Stability Simulator; CURENT LTB.,https://github.com/CURENT/andes,https://ltb.curent.org/,2016-11-07 01:04:50,2025-04-24 01:04:35.000000,2025-04-18 21:59:39,4614.0,120.0,13.0,262.0,24.0,22,True,https://docs.andes.app/en/latest/,14.0,285.0,63.0,2025-01-05 17:48:40.000,1.9.3,114.0,2.0,"['gha', 'azure', 'pypi', 'conda', 'jupyter', 'python', 'julia']",andes,conda-forge/andes,,13348.0,32.0,28.0,https://pypi.org/project/andes,2025-01-05 17:48:40.000,4.0,3031.0,https://anaconda.org/conda-forge/andes,2025-04-22 14:57:03.796,608738.0,1.0,CURENT/andes,https://hub.docker.com/r/CURENT/andes,,,,-1.0,
54,PIQP,ops,,PREDICT-EPFL/piqp,BSD-2,Proximal Interior Point Quadratic Programming solver.,https://github.com/PREDICT-EPFL/piqp,https://github.com/PREDICT-EPFL/piqp,2023-01-25 13:55:12,2025-04-22 14:58:46.189000,2025-04-05 07:11:51,492.0,15.0,7.0,106.0,4.0,22,True,https://predict-epfl.github.io/piqp/,8.0,6.0,9.0,2025-03-17 16:37:43.000,0.5.0,15.0,87.0,"['gha', 'pypi', 'conda', 'python', 'c', 'octave', 'r']",piqp,conda-forge/piqp,644.0,40413.0,53.0,44.0,https://pypi.org/project/piqp,2025-03-17 16:37:43.000,9.0,29871.0,https://anaconda.org/conda-forge/piqp,2025-04-22 14:58:46.189,210277.0,3.0,,,,,,,
55,GridPath,steady-state,,blue-marble/gridpath,Apache-2,Power system planning and operations.,https://github.com/blue-marble/gridpath,https://www.gridpath.io/,2016-08-12 18:13:28,2025-04-18 23:03:12.000000,2025-04-18 23:03:11,1561.0,40.0,79.0,104.0,12.0,22,True,https://gridpath.readthedocs.io/en/latest/?badge=latest,10.0,907.0,260.0,2025-02-26 20:20:51.000,2025.4.0,30.0,50.0,"['gha', 'python']",GridPath,,1264.0,401.0,4.0,4.0,https://pypi.org/project/GridPath,2025-02-26 20:20:51.000,,380.0,,,,2.0,,,,,,,
56,DPsim,emt,,sogno-platform/dpsim,MPL-2.0,Simulation for both EMT and phasor.,https://github.com/sogno-platform/dpsim,https://dpsim.fein-aachen.org/,2020-01-29 08:49:59,2025-04-21 22:49:06.000000,2025-04-21 14:38:35,4741.0,59.0,83.0,82.0,35.0,22,True,https://dpsim.fein-aachen.org/docs/,9.0,244.0,73.0,2023-07-13 13:38:01.948,1.1.1,9.0,127.0,"['gha', 'pypi', 'jupyter', 'python', 'c']",dpsim,,,406.0,11.0,11.0,https://pypi.org/project/dpsim,2022-12-10 09:56:59.646,,406.0,,,,1.0,,,,,,,
57,Dynaωo,phasor,,dynawo/dynawo,MPL-2.0,C++/Modelica simulation tools for power systems.,https://github.com/dynawo/dynawo,http://dynawo.org,2019-01-29 13:29:35,2025-04-24 17:16:27.000000,2025-04-23 09:17:09,2465.0,25.0,137.0,82.0,57.0,22,True,https://dynawo.github.io/docs/,8.0,2106.0,1402.0,2024-05-21 08:44:47.000,1.6.0,18.0,51.0,"['gha', 'modelica']",,,17486.0,233.0,,,,,,,,,,1.0,,,,,,,
58,AMPLPY,ops,,ampl/amplpy,BSD-3,Python API for AMPL.,https://github.com/ampl/amplpy,https://ampl.com/,2017-06-27 00:22:07,2025-04-24 16:20:28.000000,2025-04-24 16:20:26,804.0,20.0,1.0,80.0,9.0,22,True,https://amplpy.readthedocs.io/en/latest/,12.0,7.0,47.0,2024-05-23 16:41:59.000,0.14.0,174.0,25.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",amplpy,conda-forge/amplpy,,90376.0,121.0,115.0,https://pypi.org/project/amplpy,2025-04-01 21:32:30.000,6.0,82901.0,https://anaconda.org/conda-forge/amplpy,2025-04-22 14:57:01.426,418605.0,3.0,,,,,,,
59,PyPowSyBl,steady-state,,powsybl/pypowsybl,MPL-2.0,A PowSyBl and Python integration.,https://github.com/powsybl/pypowsybl,https://www.powsybl.org,2020-11-09 10:30:33,2025-04-24 14:55:21.000000,2025-04-23 09:42:05,731.0,12.0,73.0,64.0,33.0,22,True,https://pypowsybl.readthedocs.io/en/latest/,20.0,771.0,164.0,2025-04-08 13:25:56.000,1.11.0,45.0,38.0,"['gha', 'pypi', 'python', 'java', 'jupyter']",pypowsybl,,278.0,11193.0,8.0,,https://pypi.org/project/pypowsybl,2025-04-07 13:04:22.000,8.0,11188.0,,,,2.0,,,,,,,
60,LightSim2Grid,steady-state,,BDonnot/lightsim2grid,MPL-2.0,A fast backend for the Grid2Op.,https://github.com/Grid2op/lightsim2grid,https://l2rpn.chalearn.org/,2020-03-09 07:35:27,2025-04-17 15:15:45.000000,2025-03-07 13:44:47,902.0,11.0,17.0,53.0,6.0,22,True,https://lightsim2grid.readthedocs.io/en/latest/,2.0,55.0,38.0,2025-03-07 14:36:57.000,0.10.2,36.0,67.0,"['gha', 'pypi', 'python']",LightSim2Grid,,300.0,22898.0,85.0,62.0,https://pypi.org/project/LightSim2Grid,2025-03-27 08:40:48.000,23.0,22888.0,,,,2.0,bdonnot/lightsim2grid,https://hub.docker.com/r/bdonnot/lightsim2grid,2022-02-01 17:50:28.347059,332.0,,,Grid2op/lightsim2grid
61,PyPSA-Eur,steady-state,,PyPSA/pypsa-eur,MIT,Sector-Coupled Optimisation Model of the European Energy System.,https://github.com/PyPSA/pypsa-eur,https://pypsa.org,2017-10-11 23:54:41,2025-04-23 14:10:16.000000,2025-04-22 07:56:37,5510.0,269.0,151.0,414.0,91.0,21,True,https://pypsa-eur.readthedocs.io/en/latest/?badge=latest,18.0,1128.0,393.0,2025-04-06 15:26:35.000,2025.04.0,19.0,88.0,"['gha', 'python']",,,,,,,,,,,,,,2.0,nimfetrisa/pypsa-eur,https://hub.docker.com/r/nimfetrisa/pypsa-eur,,,,,
62,PyPSA-Earth,steady-state,,pypsa-meets-earth/pypsa-earth,AGPL-3,Open optimisation model for study energy system futures.,https://github.com/pypsa-meets-earth/pypsa-earth,https://pypsa-meets-earth.github.io/,2021-02-28 19:26:35,2025-04-23 20:57:49.000000,2025-04-23 20:57:49,6014.0,226.0,178.0,257.0,77.0,21,True,https://pypsa-earth.readthedocs.io/,10.0,824.0,325.0,2024-12-24 14:24:19.000,0.6.0,12.0,125.0,"['gha', 'python']",,,,,,,,,,,,,,2.0,,,,,,,
63,PowerGenome,data,,PowerGenome/PowerGenome,MIT,Create inputs for power systems models.,https://github.com/PowerGenome/PowerGenome,https://groups.io/g/powergenome,2019-07-18 17:33:40,2025-04-22 14:58:55.013000,2025-03-21 18:09:22,1824.0,68.0,89.0,208.0,18.0,21,True,https://github.com/PowerGenome/PowerGenome/wiki,18.0,217.0,86.0,2025-03-21 18:15:20.000,0.7.0,20.0,56.0,"['gha', 'pypi', 'conda', 'python']",PowerGenome,conda-forge/powergenome,,418.0,,,https://pypi.org/project/PowerGenome,2025-03-21 18:15:20.000,,357.0,https://anaconda.org/conda-forge/powergenome,2025-04-22 14:58:55.013,915.0,3.0,,,,,,,
64,SimBench,data,,e2nIEE/simbench,odbl-1.0,Benchmark dataset of German LV/MV/HV grids including 15min time series for 1 year.,https://github.com/e2nIEE/simbench,https://simbench.de/en/,2019-05-13 14:10:08,2025-04-13 10:12:48.000000,2025-04-13 10:12:38,160.0,30.0,2.0,120.0,4.0,21,True,https://simbench.readthedocs.io/en/stable/?badge=stable,6.0,26.0,32.0,2025-04-13 10:12:48.000,1.6.1,11.0,17.0,"['python', 'pypi', 'juptyer', 'gha']",simbench,,,3935.0,55.0,45.0,https://pypi.org/project/simbench,2025-04-13 10:12:48.000,10.0,3935.0,,,,3.0,,,,,,,
65,py-dss-interface,intf,,PauloRadatz/py_dss_interface,MIT,A package for access to direct dll version of OpenDSS.,https://github.com/PauloRadatz/py_dss_interface,https://github.com/PauloRadatz/py_dss_interface,2020-06-12 18:58:36,2025-04-22 09:48:44.000000,2025-04-22 09:48:45,663.0,9.0,,31.0,6.0,21,True,https://py-dss-interface.readthedocs.io/en/latest/,6.0,48.0,55.0,2025-03-29 10:43:20.000,2.1.0,20.0,56.0,"['gha', 'pypi', 'python', 'jupyter']",py-dss-interface,,,1437.0,42.0,35.0,https://pypi.org/project/py-dss-interface,2025-03-29 10:26:49.000,7.0,1437.0,,,,1.0,,,,,,,
66,PowerModels.jl,steady-state,,lanl-ansi/PowerModels.jl,BSD,Power Network Optimization.,https://github.com/lanl-ansi/PowerModels.jl,https://github.com/lanl-ansi/PowerModels.jl,2016-08-01 20:30:54,2025-04-24 04:50:45.000000,2025-04-24 04:47:59,1000.0,159.0,93.0,415.0,32.0,20,True,https://lanl-ansi.github.io/PowerModels.jl/stable/,23.0,471.0,405.0,2024-11-04 01:25:21.000,0.21.3,78.0,15.0,"['gha', 'julia']",,,,,,,,,,,,,,2.0,,,,,,1.0,
67,GridLAB-D,phasor,,gridlab-d/gridlab-d,https://github.com/gridlab-d/gridlab-d/blob/master/LICENSE,Distribution power system simulator.,https://github.com/gridlab-d/gridlab-d,https://www.gridlabd.org/,2016-08-29 17:43:21,2025-03-17 18:34:43.000000,2024-02-22 22:43:24,4394.0,113.0,319.0,171.0,75.0,20,True,https://gridlab-d.shoutwiki.com/wiki/Source_documentation,24.0,151.0,1009.0,2025-01-07 00:39:44.000,5.3.0,7.0,,"['c', 'gha']",,,6258.0,73.0,,,,,,,,,,2.0,,,,,,,
68,GenX,steady-state,,GenXProject/GenX,GPL-2.0,Configurable capacity expansion model.,https://github.com/GenXProject/GenX.jl,https://energy.mit.edu/genx/,2021-05-19 17:57:57,2025-04-16 20:34:40.000000,2025-02-05 04:13:13,1102.0,124.0,52.0,301.0,35.0,19,True,https://genxproject.github.io/GenX/dev/,17.0,540.0,246.0,2025-02-05 04:40:15.000,0.4.4,16.0,12.0,['julia'],,,,,,,,,,,,,,2.0,,,,,,,GenXProject/GenX.jl
69,PyOptInterface,opl,,metab0t/PyOptInterface,MPL-2.0,Efficient modeling interface for optimization in Python.,https://github.com/metab0t/PyOptInterface,https://github.com/metab0t/PyOptInterface,2023-06-13 16:11:33,2025-04-22 04:12:45.000000,2025-04-22 03:15:41,406.0,15.0,3.0,267.0,2.0,19,True,https://metab0t.github.io/PyOptInterface/,5.0,2.0,19.0,2025-03-19 07:06:10.000,0.4.1,14.0,33.0,"['gha', 'pypi', 'jupyter', 'python']",pyoptinterface,,,4532.0,19.0,15.0,https://pypi.org/project/pyoptinterface,2025-03-19 07:06:10.000,4.0,4532.0,,,,3.0,,,,,,,
70,REopt,steady-state,,NREL/REopt_API,BSD-3,Renewable Energy Integration & Optimization.,https://github.com/NREL/REopt_API,https://www.nrel.gov/reopt/,2018-12-17 21:24:59,2025-04-24 18:17:28.000000,2025-04-21 16:14:37,5329.0,56.0,44.0,101.0,22.0,19,True,,8.0,556.0,40.0,2025-04-19 02:52:51.000,3.12.1,58.0,68.0,"['gha', 'python', 'julia']",,,573.0,9.0,,,,,,,,,,2.0,,,,,,,
71,OpenDSSDirect.py,intf,,dss-extensions/OpenDSSDirect.py,MIT,A direct library interface to OpenDSS.,https://github.com/dss-extensions/OpenDSSDirect.py,https://dss-extensions.org/,2017-06-20 19:18:22,2024-03-29 06:05:46.000000,2024-03-29 05:10:43,451.0,24.0,16.0,94.0,3.0,19,True,https://dss-extensions.org/OpenDSSDirect.py/,13.0,31.0,89.0,2024-03-29 06:18:05.000,0.9.4,43.0,,"['gha', 'pypi', 'python', 'jupyter']",OpenDSSDirect.py,,,5195.0,88.0,72.0,https://pypi.org/project/OpenDSSDirect.py,2021-03-11 01:53:34.000,16.0,5195.0,,,,1.0,,,,,,,
72,CIMpy,intf,,sogno-platform/cimpy,MPL-2.0,CIM files to the XML/RDF format.,https://github.com/sogno-platform/cimpy,https://github.com/sogno-platform/cimpy,2020-01-29 08:22:48,2025-03-09 07:52:14.000000,2025-02-23 21:37:23,230.0,23.0,12.0,60.0,11.0,19,True,https://sogno.energy/cimpy/,3.0,27.0,12.0,2025-03-09 07:52:14.000,1.2.0,9.0,10.0,"['gha', 'python']",cimpy,,,963.0,11.0,10.0,https://pypi.org/project/cimpy,2024-06-20 20:41:41.000,1.0,963.0,,,,1.0,,,,,,,
73,PowSyBl Diagram,vis,,powsybl/powsybl-diagram,MPL-2.0,single-line substation diagrams and network graph diagrams.,https://github.com/powsybl/powsybl-diagram,https://www.powsybl.org,2019-10-11 11:25:46,2025-04-17 13:35:34.000000,2025-04-08 11:54:49,536.0,14.0,72.0,83.0,27.0,18,True,https://www.powsybl.org/pages/documentation/developer/api_guide/svg-writing.html,19.0,519.0,109.0,2025-03-31 08:13:57.000,4.8.0,50.0,14.0,"['gha', 'java', 'jupyter']",,,,,31.0,31.0,,,,,,,,1.0,,,,,,,
74,PyPSA-USA,steady-state,,PyPSA/pypsa-usa,MIT,Power System Model for the United States.,https://github.com/PyPSA/pypsa-usa,https://pypsa.org,2022-06-07 15:13:26,2025-04-22 07:18:59.000000,2025-04-14 19:46:11,2320.0,28.0,90.0,82.0,12.0,18,True,https://pypsa-usa.readthedocs.io/,6.0,274.0,233.0,2025-01-09 21:46:35.000,0.5.0,6.0,13.0,['python'],,,,,,,,,,,,,,3.0,,,,,,,
75,RSOME,opl,,XiongPengNUS/rsome,GPL-3,Robust Stochastic Optimization Made Easy.,https://github.com/XiongPengNUS/rsome,https://github.com/XiongPengNUS/rsome,2020-07-26 13:00:05,2024-11-15 13:40:52.000000,2024-11-15 13:40:10,218.0,57.0,7.0,314.0,3.0,17,True,https://xiongpengnus.github.io/rsome/,3.0,21.0,38.0,2024-06-25 13:42:14.000,1.3.0,34.0,,"['gha', 'pypi', 'jupyter', 'python']",rsome,,,1161.0,4.0,,https://pypi.org/project/rsome,2024-10-29 06:05:15.000,4.0,1161.0,,,,3.0,,,,,,,
76,Clarabel.jl,ops,,oxfordcontrol/Clarabel.jl,Apache-2.0,Interior-point solver for convex conic optimisation in Julia.,https://github.com/oxfordcontrol/Clarabel.jl,https://github.com/oxfordcontrol/Clarabel.jl,2021-11-09 14:28:22,2025-03-19 11:42:58.000000,2025-03-07 17:51:35,893.0,18.0,6.0,198.0,12.0,16,True,https://oxfordcontrol.github.io/ClarabelDocs/stable/,3.0,140.0,52.0,2025-02-02 20:51:00.000,0.10.0,16.0,21.0,"['gha', 'julia']",,,,,,,,,,,,,,3.0,,,,,,,
77,MadNLP,ops,,MadNLP/MadNLP.jl,MIT,A solver for nonlinear programming with GPU support.,https://github.com/MadNLP/MadNLP.jl,https://github.com/MadNLP/MadNLP.jl,2020-09-16 23:07:35,2025-04-09 13:53:53.000000,2025-04-09 05:41:19,508.0,16.0,35.0,183.0,15.0,16,True,https://madnlp.github.io/MadNLP.jl/stable/,11.0,326.0,62.0,2025-04-01 11:11:16.000,0.8.6,23.0,14.0,"['gha', 'julia']",,,,,,,,,,,,,,3.0,,,,,,,
78,dGen,dataman,,NREL/dgen,BSD-3,The Distributed Generation Market Demand (dGen) model.,https://github.com/NREL/dgen,https://github.com/NREL/dgen,2020-04-15 15:51:02,2025-04-24 00:49:37.000000,2025-04-17 19:57:30,166.0,156.0,23.0,64.0,10.0,16,True,https://nrel.github.io/dgen/,17.0,23.0,19.0,2024-12-18 17:32:05.000,2.0.0,2.0,38.0,"['python', 'jupyter']",,,,,,,,,,,,,,1.0,,,,,,,
79,Easy SimAuto,intf,,mzy2240/ESA,Apache-2.0,Python interface to PowerWorld.,https://github.com/mzy2240/ESA,https://github.com/mzy2240/ESA,2019-10-08 21:37:23,2025-01-16 22:58:54.000000,2025-01-16 22:58:54,665.0,13.0,15.0,47.0,12.0,16,True,https://mzy2240.github.io/ESA/html/index.html,4.0,17.0,85.0,2023-06-05 21:19:00.512,1.3.5,52.0,,"['pypi', 'python']",esa,,,2519.0,8.0,7.0,https://pypi.org/project/esa,2022-05-21 02:37:41.000,1.0,2519.0,,,,2.0,,,,,,,
80,LTB AMS,steady-state,,CURENT/ams,GPL-3,Scheduling Modeling and Simulation; CURENT LTB.,https://github.com/CURENT/ams,https://ltb.curent.org/,2022-10-05 11:57:30,2025-04-23 18:48:15.000000,2025-04-23 16:23:08,2347.0,7.0,1.0,13.0,4.0,16,True,https://ams.readthedocs.io/en/latest/,2.0,137.0,2.0,2025-04-23 16:28:38.000,1.0.9,31.0,223.0,"['gha', 'azure', 'pypi', 'conda', 'jupyter', 'python']",ltbams,conda-forge/ltbams,19.0,2156.0,,,https://pypi.org/project/ltbams,2025-04-23 16:27:53.000,,1311.0,https://anaconda.org/conda-forge/ltbams,2025-04-23 18:42:55.318,11827.0,3.0,,,,,,,
81,matpowercaseframes,intf,,UGM-EPSLab/matpowercaseframes,MIT,Parse MATPOWER case into pandas DataFrame.,https://github.com/UGM-EPSLab/matpowercaseframes,https://github.com/UGM-EPSLab/matpowercaseframes,2022-03-31 04:51:41,2025-02-11 00:13:13.000000,2025-02-11 00:09:59,203.0,2.0,1.0,5.0,7.0,16,True,,,18.0,3.0,2025-02-11 00:13:13.000,1.1.2,17.0,3.0,"['gha', 'python', 'pypi', 'jupyter']",matpowercaseframes,,,11447.0,3.0,,https://pypi.org/project/matpowercaseframes,2025-02-11 00:13:13.000,3.0,11447.0,,,,2.0,,,,,,,
82,PowerSimulationsDynamics.jl,phasor,,NREL-Sienna/PowerSimulationsDynamics.jl,BSD-3,Dynamic Power System simulations; NREL Sienna.,https://github.com/NREL-Sienna/PowerSimulationsDynamics.jl,https://www.nrel.gov/analysis/sienna.html,2020-07-16 19:36:16,2024-10-21 23:52:13.000000,2024-10-21 23:36:52,2413.0,47.0,45.0,196.0,15.0,15,True,https://nrel-sienna.github.io/PowerSimulationsDynamics.jl/stable,13.0,243.0,90.0,2024-06-05 04:15:13.000,0.14.2,41.0,,"['gha', 'julia']",,,,,,,,,,,,,,2.0,,,,,,,
83,EGRET,steady-state,,grid-parity-exchange/Egret,BSD,Tools for Power Systems Optimization Modeling.,https://github.com/grid-parity-exchange/Egret,https://github.com/grid-parity-exchange/Egret,2019-01-28 18:41:03,2025-02-04 01:01:11.000000,2025-02-04 01:01:11,1065.0,51.0,45.0,137.0,38.0,15,True,,13.0,234.0,38.0,2023-04-03 23:11:48.000,0.5.5,6.0,4.0,"['gha', 'python']",,,,,9.0,9.0,,,,,,,,3.0,,,,,,,
84,OpenIPSL,phasor,,OpenIPSL/OpenIPSL,BSD-3,A library of power system component models written in the Modelica.,https://github.com/OpenIPSL/OpenIPSL,https://github.com/OpenIPSL/OpenIPSL,2016-04-16 09:09:47,2025-04-07 15:50:56.000000,2025-04-07 15:50:56,1851.0,55.0,16.0,89.0,35.0,15,True,https://doc.openipsl.org,20.0,239.0,109.0,2022-06-23 13:05:59.000,3.0.1,15.0,2.0,"['gha', 'modelica']",,,504.0,4.0,,,,,,,,,,2.0,,,,,,,
85,GasModels.jl,gasnet,,lanl-ansi/GasModels.jl,BSD-3,Gas Network Optimization.,https://github.com/lanl-ansi/GasModels.jl,https://github.com/lanl-ansi/GasModels.jl,2016-08-29 16:01:10,2025-04-24 01:26:28.000000,2025-04-14 19:01:30,1074.0,16.0,48.0,68.0,14.0,15,True,https://lanl-ansi.github.io/GasModels.jl/latest/,10.0,121.0,98.0,2025-04-14 19:36:55.000,0.10.4,25.0,20.0,"['gha', 'julia']",,,,,,,,,,,,,,3.0,,,,,,,
86,EnergyDataModel,data,,rebase-energy/EnergyDataModel,MIT,Represent energy systems as Python data classes.,https://github.com/rebase-energy/EnergyDataModel,https://www.energydatamodel.org/,2023-12-23 11:12:27,2025-04-07 08:14:32.000000,2025-04-07 08:14:27,97.0,4.0,1.0,57.0,3.0,15,True,https://docs.energydatamodel.org/en/latest/,3.0,2.0,,2025-03-23 21:17:53.000,0.0.3,3.0,20.0,"['pypi', 'python', 'jupyter']",energydatamodel,,,229.0,2.0,,https://pypi.org/project/energydatamodel,2025-03-23 21:17:53.000,2.0,229.0,,,,3.0,,,,,,,
87,GridPACK,phasor,,GridOPTICS/GridPACK,https://github.com/GridOPTICS/GridPACK/blob/develop/docs/markdown/LICENSE.md,High-Performance Electric Grid Simulation.,https://github.com/GridOPTICS/GridPACK,https://gridpack.pnnl.gov/wiki/index.php/Main_Page,2014-07-22 21:01:57,2025-04-22 17:39:39.000000,2025-03-26 18:12:12,3130.0,21.0,32.0,50.0,52.0,15,True,https://github.com/GridOPTICS/GridPACK/blob/develop/docs/user_manual/GridPACK.pdf,15.0,99.0,104.0,2020-01-31 21:18:21.000,3.4,5.0,10.0,"['c', 'python']",,,617.0,6.0,,,,,,,,,,2.0,,,,,,,
88,PyDSS,intf,,NREL/PyDSS,BSD-3,A Python wrapper for OpenDSS.,https://github.com/NREL/PyDSS,https://www.nrel.gov/grid/pydss.html,2018-10-16 15:59:07,2025-02-12 18:48:57.000000,2024-09-30 20:12:32,958.0,23.0,17.0,39.0,23.0,15,True,https://nrel.github.io/PyDSS/index.html,7.0,122.0,16.0,2024-05-29 18:05:37.000,3.1.7,21.0,,"['gha', 'pypi', 'python']",pydss,,,50.0,2.0,2.0,https://pypi.org/project/pydss,2011-08-17 20:40:53.000,,50.0,,,,2.0,,,,,,,
89,AltDSS/DSS C-API,intf,,dss-extensions/dss_capi,BSD-3,a plain C interface to OpenDSS.,https://github.com/dss-extensions/dss_capi,https://dss-extensions.org/,2017-12-18 14:45:11,2024-12-20 06:05:49.000000,2024-07-11 18:58:44,2411.0,13.0,16.0,34.0,8.0,15,True,https://dss-extensions.org/dss-extensions/pascal/,7.0,12.0,103.0,2024-03-29 04:28:39.000,0.14.5,68.0,,['gha'],,,26789.0,311.0,,,,,,,,,,2.0,,,,,,,
90,PowerGraphics.jl,vis,,NREL-Sienna/powergraphics.jl,BSD-3,Visualization for PowerSimulations; NREL Sienna.,https://github.com/NREL-Sienna/PowerGraphics.jl,https://www.nrel.gov/analysis/sienna.html,2020-02-19 23:29:27,2025-03-26 13:53:10.000000,2025-03-19 19:32:42,601.0,17.0,15.0,30.0,11.0,15,True,https://nrel-sienna.github.io/PowerGraphics.jl/stable/,9.0,84.0,24.0,2025-03-26 13:46:46.000,0.20.0,43.0,28.0,"['gha', 'julia', 'jupyter']",,,,,,,,,,,,,,3.0,,,,,,,
91,PowerNetworkMatrices.jl,steady-state,,NREL-Sienna/PowerNetworkMatrices.jl,BSD-3,Power systems matrices; NREL Sienna.,https://github.com/NREL-Sienna/PowerNetworkMatrices.jl,https://www.nrel.gov/analysis/sienna.html,2022-11-16 21:59:51,2025-04-23 22:21:26.000000,2025-04-11 23:18:52,625.0,17.0,25.0,24.0,8.0,15,True,https://nrel-sienna.github.io/PowerNetworkMatrices.jl/stable/,5.0,56.0,31.0,2025-04-11 23:36:21.000,0.13.0,30.0,18.0,"['gha', 'julia']",,,,,,,,,,,,,,3.0,,,,,,,
