,name,category,resource,github_id,homepage,docs_url,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,recent_commit_count,labels,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,dockerhub_stars,updated_github_id
42,PowerModels.jl,steady-state,,lanl-ansi/PowerModels.jl,https://github.com/lanl-ansi/PowerModels.jl,https://lanl-ansi.github.io/PowerModels.jl/stable/,BSD,Power Network Optimization.,https://github.com/lanl-ansi/PowerModels.jl,2016-08-01 20:30:54.000,2024-03-16 16:57:47.000,2024-03-16 15:30:51,978.0,136.0,26.0,432.0,86.0,390.0,363.0,2024-03-16 16:54:57.000,0.21.1,76.0,29.0,19,True,17.0,"['gha', 'julia']",,,,,,,,,,,,,,3.0,,,,,,,
43,PYPOWER,steady-state,,rwl/PYPOWER,rwl.github.io/PYPOWER/api/,http://rwl.github.io/PYPOWER/index.html,BSD,Port of MATPOWER to Python.,https://github.com/rwl/PYPOWER,2009-05-22 12:14:47.000,2023-07-06 21:40:30.000,2023-03-29 15:07:00,351.0,110.0,25.0,44.0,30.0,11.0,303.0,2023-03-29 15:17:01.097,5.1.16,17.0,20.0,19,True,,"['gha', 'pypi', 'conda', 'python']",PYPOWER,invenia/pypower,,4565.0,122.0,100.0,https://pypi.org/project/PYPOWER,2023-03-29 15:17:01.097,22.0,4526.0,https://anaconda.org/invenia/pypower,2023-06-16 13:21:19.108,3146.0,3.0,hwanghust/pypower,https://hub.docker.com/r/hwanghust/pypower,2019-05-19 07:28:05.197725,17.0,,,
44,PowSyBl Diagram,vis,,powsybl/powsybl-diagram,https://www.powsybl.org,https://www.powsybl.org/pages/documentation/developer/api_guide/svg-writing.html,MPL-2.0,single-line substation diagrams and network graph diagrams.,https://github.com/powsybl/powsybl-diagram,2019-10-11 11:25:46.000,2024-03-21 14:35:08.000,2024-03-19 09:09:26,460.0,12.0,21.0,443.0,62.0,100.0,68.0,2024-02-01 14:31:21.000,4.2.0,41.0,24.0,19,True,15.0,"['gha', 'java', 'jupyter']",,,,,23.0,23.0,,,,,,,,1.0,,,,,,,
45,DPsim,emt,,sogno-platform/dpsim,https://dpsim.fein-aachen.org/,https://dpsim.fein-aachen.org/docs/,MPL-2.0,Simulation for both EMT and phasor.,https://github.com/sogno-platform/dpsim,2020-01-29 08:49:59.000,2024-03-20 16:16:31.000,2024-03-01 16:43:04,4461.0,45.0,9.0,171.0,83.0,48.0,63.0,2023-07-13 13:38:01.948,1.1.1,9.0,32.0,19,True,21.0,"['gha', 'pypi', 'jupyter', 'python', 'c']",dpsim,,,55.0,6.0,6.0,https://pypi.org/project/dpsim,2022-12-10 09:56:59.646,,55.0,,,,1.0,,,,,,,
46,py-dss-interface,intf,,PauloRadatz/py_dss_interface,https://github.com/PauloRadatz/py_dss_interface,https://py-dss-interface.readthedocs.io/en/latest/,MIT,A package for access to direct dll version of OpenDSS.,https://github.com/PauloRadatz/py_dss_interface,2020-06-12 18:58:36.000,2024-03-21 00:57:23.000,2024-03-21 00:40:59,540.0,8.0,6.0,48.0,32.0,21.0,23.0,2024-03-21 00:57:23.000,2.0.4,19.0,6.0,19,True,12.0,"['gha', 'pypi', 'python', 'jupyter']",py-dss-interface,,,522.0,29.0,25.0,https://pypi.org/project/py-dss-interface,2024-03-21 00:57:23.000,4.0,522.0,,,,1.0,,,,,,,
47,GenX,steady-state,,GenXProject/GenX,https://energy.mit.edu/genx/,https://genxproject.github.io/GenX/dev/,GPL-2.0,Configurable capacity expansion model.,https://github.com/GenXProject/GenX.jl,2021-05-19 17:57:57.000,2024-03-21 03:03:55.000,2024-03-21 02:56:32,942.0,93.0,17.0,429.0,60.0,184.0,230.0,2023-08-01 19:35:41.000,0.3.6,10.0,30.0,18,True,62.0,['julia'],,,,,,,,,,,,,,3.0,,,,,,,GenXProject/GenX.jl
48,RSOME,opl,,XiongPengNUS/rsome,https://github.com/XiongPengNUS/rsome,https://xiongpengnus.github.io/rsome/,GPL-3,Robust Stochastic Optimization Made Easy.,https://github.com/XiongPengNUS/rsome,2020-07-26 13:00:05.000,2024-01-19 06:13:34.000,2024-01-19 06:13:26,212.0,51.0,4.0,20.0,5.0,35.0,250.0,2024-01-19 06:11:10.000,1.2.6,32.0,3.0,17,True,1.0,"['gha', 'pypi', 'jupyter', 'python']",rsome,,,2147.0,1.0,,https://pypi.org/project/rsome,2024-01-19 06:11:10.000,1.0,2147.0,,,,3.0,,,,,,,
49,PowerSimulationsDynamics.jl,phasor,,NREL-Sienna/PowerSimulationsDynamics.jl,https://www.nrel.gov/analysis/sienna.html,https://nrel-sienna.github.io/PowerSimulationsDynamics.jl/stable,BSD-3,Dynamic Power System simulations; NREL Sienna.,https://github.com/NREL-Sienna/PowerSimulationsDynamics.jl,2020-07-16 19:36:16.000,2024-03-15 20:02:31.000,2024-02-09 22:24:24,2396.0,33.0,13.0,221.0,42.0,87.0,151.0,2024-02-09 22:36:58.000,0.14.0,39.0,13.0,17,True,7.0,"['gha', 'julia']",,,,,,,,,,,,,,2.0,,,,,,,
50,GridLAB-D,phasor,,gridlab-d/gridlab-d,https://www.gridlabd.org/,https://gridlab-d.shoutwiki.com/wiki/Source_documentation,https://github.com/gridlab-d/gridlab-d/blob/master/LICENSE,Distribution power system simulator.,https://github.com/gridlab-d/gridlab-d,2016-08-29 17:43:21.000,2024-03-13 23:21:27.000,2024-02-22 22:43:24,4394.0,102.0,24.0,146.0,325.0,1004.0,140.0,2023-10-12 23:32:11.000,5.2,6.0,74.0,17,True,1.0,['c'],,,3002.0,41.0,,,,,,,,,,2.0,,,,,,,
51,PIQP,ops,,PREDICT-EPFL/piqp,https://github.com/PREDICT-EPFL/piqp,https://predict-epfl.github.io/piqp/,BSD-2,Proximal Interior Point Quadratic Programming solver.,https://github.com/PREDICT-EPFL/piqp,2023-01-25 13:55:12.000,2024-03-02 13:02:32.000,2024-03-02 13:02:25,271.0,6.0,6.0,,4.0,2.0,47.0,2023-12-25 19:28:11.000,0.2.4,9.0,1.0,17,True,31.0,"['gha', 'pypi', 'conda', 'python', 'c', 'octave', 'r']",piqp,conda-forge/piqp,53.0,5823.0,10.0,5.0,https://pypi.org/project/piqp,2023-12-25 19:28:11.000,5.0,4376.0,https://anaconda.org/conda-forge/piqp,2023-12-25 21:00:54.971,10094.0,3.0,,,,,,,
52,Easy SimAuto,intf,,mzy2240/ESA,https://github.com/mzy2240/ESA,https://mzy2240.github.io/ESA/html/index.html,Apache-2.0,Python interface to PowerWorld.,https://github.com/mzy2240/ESA,2019-10-08 21:37:23.000,2024-03-08 19:38:09.000,2023-06-05 21:15:21,663.0,10.0,5.0,16.0,15.0,85.0,41.0,2023-06-05 21:19:00.512,1.3.5,52.0,11.0,17,True,,"['pypi', 'python']",esa,,,2372.0,5.0,4.0,https://pypi.org/project/esa,2022-05-21 02:37:41.000,1.0,2372.0,,,,2.0,,,,,,,
53,PowerGenome,steady-state,,PowerGenome/PowerGenome,https://groups.io/g/powergenome,https://github.com/PowerGenome/PowerGenome/wiki,MIT,Create inputs for power systems models.,https://github.com/PowerGenome/PowerGenome,2019-07-18 17:33:40.000,2024-03-21 18:23:17.000,2024-03-05 21:32:15,1563.0,56.0,17.0,173.0,65.0,69.0,182.0,2023-09-08 17:28:41.000,0.6.1,16.0,14.0,16,True,1.0,"['gha', 'pypi', 'conda', 'python']",PowerGenome,conda-forge/powergenome,,60.0,,,https://pypi.org/project/PowerGenome,2023-06-10 21:23:34.968,,14.0,https://anaconda.org/conda-forge/powergenome,2024-01-02 04:04:47.685,93.0,3.0,,,,,,,
54,Clarabel.jl,ops,,oxfordcontrol/Clarabel.jl,https://github.com/oxfordcontrol/Clarabel.jl,https://oxfordcontrol.github.io/ClarabelDocs/stable/,Apache-2.0,Interior-point solver for convex conic optimisation in Julia.,https://github.com/oxfordcontrol/Clarabel.jl,2021-11-09 14:28:22.000,2024-03-18 11:46:44.000,2024-03-01 23:17:31,808.0,16.0,5.0,117.0,4.0,40.0,149.0,2024-03-01 23:15:43.000,0.7.1,12.0,11.0,16,True,15.0,"['gha', 'julia']",,,,,,,,,,,,,,3.0,,,,,,,
55,PyDSS,intf,,NREL/PyDSS,https://www.nrel.gov/grid/pydss.html,https://nrel.github.io/PyDSS/index.html,BSD-3,A Python wrapper for OpenDSS.,https://github.com/NREL/PyDSS,2018-10-16 15:59:07.000,2024-03-20 00:07:38.000,2024-03-20 00:07:35,882.0,18.0,9.0,109.0,16.0,16.0,31.0,2024-02-06 00:06:40.000,3.0.2,17.0,24.0,16,True,52.0,"['gha', 'pypi', 'python']",pydss,,,17.0,2.0,2.0,https://pypi.org/project/pydss,2011-08-17 20:40:53.000,,17.0,,,,2.0,,,,,,,
56,PyPSA-USA,steady-state,,PyPSA/pypsa-usa,https://pypsa.org,https://pypsa-usa.readthedocs.io/,MIT,Power System Model for the United States.,https://github.com/PyPSA/pypsa-usa,2022-06-07 15:13:26.000,2024-03-21 16:19:32.000,2024-03-21 16:19:31,1195.0,9.0,4.0,90.0,63.0,82.0,18.0,2024-03-14 04:46:02.000,0.0.1,1.0,8.0,16,True,319.0,['python'],,,,,,,,,,,,,,3.0,,,,,,,
57,EGRET,steady-state,,grid-parity-exchange/Egret,https://github.com/grid-parity-exchange/Egret,,BSD,Tools for Power Systems Optimization Modeling.,https://github.com/grid-parity-exchange/Egret,2019-01-28 18:41:03.000,2024-02-16 17:44:40.000,2023-11-14 21:40:03,1061.0,46.0,13.0,233.0,44.0,38.0,117.0,2023-04-03 23:11:48.000,0.5.5,6.0,38.0,15,True,,"['gha', 'python']",,,,,6.0,6.0,,,,,,,,3.0,,,,,,,
58,OpenIPSL,phasor,,OpenIPSL/OpenIPSL,https://github.com/OpenIPSL/OpenIPSL,https://doc.openipsl.org,BSD-3,A library of power system models.,https://github.com/OpenIPSL/OpenIPSL,2016-04-16 09:09:47.000,2024-03-18 08:43:49.000,2024-02-12 10:58:40,1771.0,47.0,20.0,226.0,16.0,100.0,66.0,2022-06-23 13:05:59.000,3.0.1,15.0,32.0,15,True,1.0,"['gha', 'modelica']",,,483.0,5.0,,,,,,,,,,2.0,,,,,,,
59,ExaGO,steady-state,,pnnl/ExaGO,https://www.gridpath.io/,https://github.com/pnnl/ExaGO/blob/develop/docs/manual/manual.pdf,BSD-3,Large-scale power grid optimization.,https://github.com/pnnl/ExaGO,2023-08-02 21:05:34.000,2024-03-19 19:36:04.000,2024-03-14 21:45:38,1138.0,7.0,10.0,60.0,47.0,29.0,42.0,2023-10-25 18:01:10.000,1.6.0,1.0,27.0,15,True,9.0,"['gha', 'jupyter', 'c']",,,,,,,,,,,,,,3.0,,,,,,,
60,PowerGraphics.jl,vis,,NREL-Sienna/powergraphics.jl,https://www.nrel.gov/analysis/sienna.html,https://nrel-sienna.github.io/PowerGraphics.jl/stable/,BSD-3,Visualization for PowerSimulations; NREL Sienna.,https://github.com/NREL-Sienna/PowerGraphics.jl,2020-02-19 23:29:27.000,2024-02-26 23:21:16.000,2024-02-26 22:56:20,555.0,10.0,9.0,80.0,14.0,23.0,27.0,2024-02-26 23:15:58.000,0.17.2,40.0,9.0,15,True,16.0,"['gha', 'julia', 'jupyter']",,,,,,,,,,,,,,3.0,,,,,,,
61,KVXOPT,opl,,sanurielf/kvxopt,https://github.com/sanurielf/kvxopt,https://sanurielf.github.io/kvxopt/userguide/,GPL-3,CVXOPT with more wrappers suite-sparse.,https://github.com/sanurielf/kvxopt,2014-03-17 19:08:31.000,2024-02-05 20:02:10.248,2023-10-16 05:28:25,265.0,1.0,3.0,3.0,1.0,6.0,10.0,2023-10-16 05:45:01.000,1.3.2.0,18.0,18.0,15,True,,"['gha', 'pypi', 'conda', 'python']",kvxopt,conda-forge/kvxopt,,10215.0,24.0,20.0,https://pypi.org/project/kvxopt,2023-10-16 17:59:24.000,4.0,6806.0,https://anaconda.org/conda-forge/kvxopt,2024-02-05 20:02:10.248,98882.0,3.0,,,,,,,
62,LTB AMS,steady-state,,CURENT/ams,https://ltb.curent.org/,https://ams.readthedocs.io/en/latest/,GPL-3,Dispatch Modeling and Simulation; CURENT LTB.,https://github.com/CURENT/ams,2022-10-05 11:57:30.000,2024-03-17 21:14:34.000,2024-03-16 21:26:52,1468.0,3.0,2.0,67.0,,2.0,3.0,2024-03-16 21:31:05.000,0.9.4,8.0,3.0,15,True,474.0,"['gha', 'azure', 'pypi', 'conda', 'jupyter', 'python']",ltbams,conda-forge/ltbams,,495.0,,,https://pypi.org/project/ltbams,2024-03-16 21:31:05.000,,323.0,https://anaconda.org/conda-forge/ltbams,2024-03-17 03:06:05.606,172.0,3.0,,,,,,,
63,GasModels.jl,gasnet,,lanl-ansi/GasModels.jl,https://github.com/lanl-ansi/GasModels.jl,https://lanl-ansi.github.io/GasModels.jl/latest/,BSD-3,Gas Network Optimization.,https://github.com/lanl-ansi/GasModels.jl,2016-08-29 16:01:10.000,2024-01-31 06:41:25.000,2024-01-31 05:50:53,1037.0,15.0,9.0,113.0,48.0,98.0,62.0,2024-01-31 06:38:45.000,0.10.0,21.0,13.0,14,True,8.0,"['gha', 'julia']",,,,,,,,,,,,,,3.0,,,,,,,
64,PowerSystems,phasor,,modelica-3rdparty/PowerSystems,https://github.com/modelica-3rdparty/PowerSystems,https://build.openmodelica.org/Documentation/PowerSystems.html,https://modelica.org/licenses/ModelicaLicense2/,Modelica 3rd party library for electrical power systems.,https://github.com/modelica-3rdparty/PowerSystems,2013-04-19 08:46:45.000,2023-03-20 17:22:14.000,2023-03-20 17:17:24,189.0,35.0,30.0,17.0,11.0,27.0,59.0,2023-03-20 16:24:10.000,1.0.1,6.0,10.0,13,True,,['modelica'],,,,,,,,,,,,,,3.0,,,,,,,
65,GridPACK,phasor,,GridOPTICS/GridPACK,https://www.gridpack.org/,https://github.com/GridOPTICS/GridPACK/blob/develop/docs/user_manual/GridPACK.pdf,https://github.com/GridOPTICS/GridPACK/blob/develop/docs/markdown/LICENSE.md,High-Performance Electric Grid Simulation.,https://github.com/GridOPTICS/GridPACK,2014-07-22 21:01:57.000,2024-03-21 15:43:26.000,2024-02-06 21:57:54,3113.0,17.0,18.0,83.0,29.0,97.0,36.0,2020-01-31 21:18:21.000,3.4,5.0,50.0,13,True,6.0,,,,594.0,6.0,,,,,,,,,,3.0,,,,,,,
66,ReEDS-2.0,steady-state,,NREL/ReEDS-2.0,https://www.nrel.gov/analysis/reeds/,https://www.nrel.gov/docs/fy21osti/78195.pdf,GPL-3.0,Capacity planning and dispatch model.,https://github.com/NREL/ReEDS-2.0,2019-05-28 15:57:01.000,2024-03-14 23:24:43.000,2024-03-14 20:51:22,61.0,11.0,141.0,22.0,4.0,14.0,107.0,2024-03-14 20:55:43.000,2024.2.0,3.0,13.0,12,True,7.0,['python'],,,,,,,,,,,,,,3.0,,,,,,,
67,STEPS,phasor,,changgang/steps,https://github.com/changgang/steps,https://github.com/changgang/steps/wiki/,MIT,Balanced large-scale AC-DC hybrid power system analysis.,https://github.com/changgang/steps,2019-08-24 12:09:47.000,2024-03-19 08:22:48.000,2023-10-16 11:50:08,556.0,15.0,4.0,,1.0,2.0,43.0,2023-10-16 12:20:36.000,2.0.0,5.0,4.0,12,True,,['c'],,,21.0,0.0,5.0,5.0,,,,,,,,3.0,,,,,,,
68,MOST,steady-state,,MATPOWER/most,https://matpower.org/,https://github.com/MATPOWER/most/blob/master/docs/MOST-manual.pdf,BSD-3,MATPOWER Optimal Scheduling Tool.,https://github.com/MATPOWER/most,2016-12-16 19:10:43.000,2024-02-05 17:20:25.000,2024-02-05 17:07:54,216.0,10.0,6.0,8.0,12.0,23.0,31.0,2022-12-13 22:26:09.000,1.2,4.0,,12,True,3.0,"['gha', 'octave']",,,,,,,,,,,,,,3.0,,,,,,,
69,OpenDER,phasor,,epri-dev/OpenDER,https://www.epri.com/OpenDER,,BSD-3,Inverter-based DER simulation.,https://github.com/epri-dev/OpenDER,2022-04-26 22:09:28.000,2024-02-18 03:42:06.000,2024-01-25 17:53:58,109.0,18.0,16.0,9.0,,1.0,46.0,2024-01-25 17:55:37.000,2.1.3,11.0,2.0,11,True,2.0,"['pypi', 'jupyter', 'python']",opender,,,75.0,1.0,1.0,https://pypi.org/project/opender,2023-12-05 15:01:12.000,,75.0,,,,3.0,,,,,,,
70,CIMpy,intf,,sogno-platform/cimpy,https://github.com/sogno-platform/cimpy,https://sogno.energy/cimpy/,MPL-2.0,CIM files to the XML/RDF format.,https://github.com/sogno-platform/cimpy,2020-01-29 08:22:48.000,2024-03-13 15:55:28.000,2023-01-30 13:53:35,170.0,12.0,7.0,17.0,4.0,6.0,46.0,,,,10.0,11,True,,"['gha', 'python']",,,,,5.0,5.0,,,,,,,,2.0,,,,,,,
71,grg-pssedata,intf,,lanl-ansi/grg-pssedata,https://github.com/lanl-ansi/grg-pssedata,https://grg-pssedata.readthedocs.io/en/stable/,BSD-3,Python tools for working with PSSE v33 data files.,https://github.com/lanl-ansi/grg-pssedata,2018-05-26 20:24:25.000,2020-12-15 03:35:19.000,2020-12-14 22:39:36,35.0,11.0,6.0,5.0,3.0,10.0,30.0,2020-12-15 03:35:19.000,0.1.4,7.0,3.0,11,True,,"['pypi', 'python']",grg-pssedata,,,18.0,5.0,4.0,https://pypi.org/project/grg-pssedata,2020-12-15 03:35:19.000,1.0,18.0,,,,2.0,,,,,,,
72,matpower-pip,steady-state,,yasirroni/matpower-pip,https://matpower.org/,https://matpower.org/doc/,MIT,Easy Python Access to MATPOWER.,https://github.com/yasirroni/matpower-pip,2021-12-27 15:47:13.000,2023-12-18 07:45:48.000,2023-12-18 07:45:21,142.0,,3.0,3.0,,11.0,16.0,2023-03-20 14:20:10.000,2.1.5,16.0,,11,True,,"['gha', 'pypi', 'python']",matpower,,,249.0,6.0,5.0,https://pypi.org/project/matpower,2023-03-25 05:06:00.849,1.0,249.0,,,,3.0,,,,,,,
73,DSSData,intf,,felipemarkson/dssdata,https://github.com/felipemarkson/dssdata,https://felipemarkson.github.io/dssdata/,MIT,A micro-framework for simulation and data analysis of distribution systems modeled on OpenDSS.,https://github.com/felipemarkson/dssdata,2020-03-27 20:15:33.000,2023-04-10 13:02:09.000,2023-04-10 13:02:03,186.0,3.0,3.0,64.0,5.0,31.0,14.0,2023-04-10 12:47:00.587,0.2.0,10.0,2.0,11,True,,"['gha', 'pypi', 'python']",dssdata,,30.0,50.0,,,https://pypi.org/project/dssdata,2023-01-24 14:40:53.571,,50.0,,,,2.0,,,,,,,
74,DeepSolar,data,,wangzhecheng/DeepSolar,https://deepsolar.web.app,,MIT,Houseshold-level solar panel identification with deep learning.,https://github.com/wangzhecheng/DeepSolar,2017-06-24 23:09:16.000,2023-03-24 22:39:39.000,2019-03-26 09:03:56,16.0,66.0,22.0,15.0,13.0,4.0,240.0,,,,2.0,9,True,,['python'],,,,,,,,,,,,,,3.0,,,,,,,
75,RLGC,mrl,,RLGC-Project/RLGC,https://github.com/RLGC-Project/RLGC,,BSD,RL for Grid Control (RLGC).,https://github.com/RLGC-Project/RLGC,2018-12-03 19:07:39.000,2022-04-08 07:14:43.000,2022-04-08 07:12:43,90.0,27.0,4.0,3.0,5.0,10.0,102.0,2020-12-23 06:10:29.000,V1.0.0_RC,2.0,4.0,9,True,,"['python', 'jupyter']",,,,,,,,,,,,,,3.0,,,,,,,
76,LTB AGVis,vis,,CURENT/agvis,https://ltb.curent.org/,https://agvis.readthedocs.io/en/latest/,GPL-3.0,Geographical Visualization for Power Grid; CURENT LTB.,https://github.com/CURENT/agvis,2019-08-30 19:15:27.000,2024-03-18 17:20:53.000,2024-01-20 17:27:32,491.0,6.0,1.0,45.0,14.0,11.0,6.0,2023-08-03 15:12:50.000,3.2.1,2.0,9.0,9,True,3.0,"['pypi', 'python']",agvis,,9.0,9.0,,,https://pypi.org/project/agvis,2023-04-26 18:46:02.373,,9.0,,,,3.0,,,,,,,
77,ParaEMT,emt,,NREL/ParaEMT_public,https://github.com/NREL/ParaEMT_public,,BSD-3,Parallel EMT simulation.,https://github.com/NREL/ParaEMT_public,2023-06-08 12:43:21.000,2023-12-15 16:49:56.000,2023-12-15 16:49:56,67.0,8.0,7.0,,,,27.0,,,,3.0,8,True,,['python'],,,,,,,,,,,,,,3.0,,,,,,,
78,LTB DiME,msg,,CURENT/dime,https://ltb.curent.org/,https://ltbdime.readthedocs.io/en/latest/,GPL-3.0,Distributed Messaging Environment; CURENT LTB.,https://github.com/CURENT/dime,2020-04-29 20:36:10.000,2023-07-31 21:24:25.000,2023-07-31 21:24:15,531.0,3.0,5.0,11.0,13.0,35.0,4.0,,,,4.0,8,True,,"['c', 'python', 'octave']",,,,,,,,,,,,,,3.0,,,,,,,
79,PowerSAS.m,phasor,,ANL-CEEESA/powersas.m,https://github.com/ANL-CEEESA/powersas.m,https://powersasm.readthedocs.io/en/latest/index.html,BSD-3,Power grid analysis framework based on semi-analytical solutions.,https://github.com/ANL-CEEESA/powersas.m,2021-12-10 21:25:47.000,2024-01-05 12:21:48.000,2024-01-05 12:21:48,75.0,4.0,,6.0,1.0,,14.0,,,,4.0,7,True,1.0,['octave'],,,,,,,,,,,,,,3.0,,,,,,,
80,MPNG,gasnet,,MATPOWER/mpng,https://matpower.org/,https://github.com/MATPOWER/mpng/blob/master/MPNG_User's_Manual/MPNG_Manual_V0.99a.pdf,BSD-3,Simulator for Optimal Power and Natural Gas Flow.,https://github.com/MATPOWER/mpng,2019-09-27 19:49:43.000,2023-09-13 12:15:23.000,2023-09-13 12:15:23,65.0,3.0,5.0,2.0,,,9.0,,,,3.0,7,True,,['octave'],,,,,,,,,,,,,,3.0,,,,,,,
81,GSEIM,pe,,gseim/gseim,https://github.com/gseim/gseim,https://gseim.github.io/build/html/index.html,GPL-3.0,Simulation of electrical circuits.,https://github.com/gseim/gseim,2021-06-08 11:11:31.000,2023-08-19 17:28:29.000,2023-08-19 17:26:55,52.0,3.0,4.0,14.0,2.0,4.0,9.0,,,5.0,3.0,7,True,,"['gha', 'pypi', 'python']",GSEIM,,,8.0,,,https://pypi.org/project/GSEIM,2022-07-16 09:00:00.315,,8.0,,,,1.0,,,,,,,
82,Andes.jl,intf,,cuihantao/Andes.jl,https://ltb.curent.org,,MIT,Julia interface for ANDES.,https://github.com/cuihantao/Andes.jl,2020-04-03 21:53:26.000,2024-02-05 08:03:58.000,2024-02-05 04:08:07,58.0,1.0,2.0,1.0,,1.0,8.0,,,,,6,True,11.0,['julia'],,,,,,,,,,,,,,3.0,,,,,,,
83,OpenHybridSim,phasor,,OpenHybridSim/OpenHybridSim-code,https://github.com/OpenHybridSim/OpenHybridSim-code,,BSD-3,EMT-TS hybrid simulation.,https://github.com/OpenHybridSim/OpenHybridSim-code,2015-01-17 03:59:14.000,2020-05-05 20:35:13.000,2020-05-05 20:35:12,16.0,5.0,5.0,,1.0,,7.0,,,,,6,True,,['java'],,,,,,,,,,,,,,3.0,,,,,,,
84,mypower,steady-state,,yasirroni/mypower,https://github.com/yasirroni/mypower,,MIT,Supplementary function of MATPOWER in Python.,https://github.com/yasirroni/mypower,2020-03-09 07:23:38.000,2022-11-26 22:27:49.000,2022-11-26 22:27:22,39.0,1.0,3.0,3.0,,,6.0,,,,,6,True,,['python'],,,,,,,,,,,,,,3.0,,,,,,,
85,PowerSystemsInvestmentsPortfolios.jl,steady-state,,NREL-Sienna/PowerSystemsInvestmentsPortfolios.jl,https://www.nrel.gov/analysis/sienna.html,https://nrel-sienna.github.io/PowerSystemsInvestmentsPortfolios.jl/stable,BSD-3,Data models for Power Systems investment models; NREL Sienna.,https://github.com/NREL-Sienna/PowerSystemsInvestmentsPortfolios.jl,2024-02-29 21:31:12.000,2024-03-01 05:16:51.000,2024-03-01 05:16:48,16.0,,4.0,,,,4.0,,,,,6,True,16.0,"['gha', 'julia']",,,,,,,,,,,,,,3.0,,,,,,,
86,PSSE RAW,intf,,anderson-optimization/em-psse,https://github.com/anderson-optimization/em-psse,,MIT,PSSE RAW parser.,https://github.com/anderson-optimization/em-psse,2019-02-14 21:15:32.000,2021-01-07 22:33:21.000,2020-01-07 18:15:29,19.0,13.0,5.0,,,1.0,27.0,,,,2.0,5,True,,"['pypi', 'python']",,,,,,,,,,,,,,3.0,,,,,,,
87,AMES - Version 5.0,steady-state,,ames-market/AMES-V5.0,https://www2.econ.iastate.edu/tesfatsi/AMESMarketHome.htm,https://www2.econ.iastate.edu/tesfatsi/AMESMarketProjectSetUpInfo.pdf,https://github.com/ames-market/AMES-V5.0/blob/master/LICENSE.rst,Wholesale Power Market Test Bed.,https://github.com/ames-market/AMES-V5.0,2020-08-03 08:54:08.000,2023-06-08 19:36:40.000,2023-06-08 19:36:10,119.0,5.0,1.0,,3.0,,19.0,,,,3.0,5,True,,['java'],,,,,,,,,,,,,,3.0,,,,,,,
88,andes_gym,mrl,,cuihantao/andes_gym,https://github.com/cuihantao/andes_gym,,GPL-3,ANDES RL Environment for OpenAI Gym.,https://github.com/cuihantao/andes_gym,2020-04-19 18:18:34.000,2022-01-28 19:53:49.000,2022-01-28 19:53:49,31.0,4.0,3.0,1.0,,,7.0,,,,2.0,5,True,,"['python', 'jupyter']",,,,,,,,,,,,,,3.0,,,,,,,
89,PowerSystemsInvestments.jl,steady-state,,NREL-Sienna/PowerSystemsInvestments.jl,https://www.nrel.gov/analysis/sienna.html,https://nrel-sienna.github.io/PowerSystemsInvestments.jl/stable,BSD-3,Power Systems investment models; NREL Sienna.,https://github.com/NREL-Sienna/PowerSystemsInvestments.jl,2024-02-29 21:28:33.000,2024-03-01 01:27:04.000,2024-03-01 01:27:01,10.0,,1.0,,,,4.0,,,,,5,True,10.0,"['gha', 'julia']",,,,,,,,,,,,,,3.0,,,,,,,
90,OpenDER interface,intf,,epri-dev/OpenDER_interface,https://www.epri.com/OpenDER,,BSD-3,Interface for OpenDER.,https://github.com/epri-dev/OpenDER_interface,2023-11-28 15:57:02.000,2023-12-12 18:34:21.000,2023-12-12 18:34:11,35.0,,8.0,,,,,,,,2.0,4,True,,"['python', 'jupyter']",,,,,,,,,,,,,,3.0,,,,,,,
91,AMES (V4.0),steady-state,,ames-market/AMES-v4.0,https://www2.econ.iastate.edu/tesfatsi/AMESMarketHome.htm,https://github.com/ames-market/AMES-v4.0/blob/master/USAGE.md,GPL-2,Agent based Modeling of Electricity Systems.,https://github.com/ames-market/AMES-v4.0,2017-04-18 18:19:21.000,2022-12-26 20:28:08.000,2020-08-28 07:29:40,6.0,7.0,3.0,6.0,3.0,2.0,13.0,,,,2.0,3,True,,['java'],,,,,,,,,,,,,,3.0,,,,,,,
92,EasySimauto.jl,intf,,mzy2240/EasySimauto.jl,https://github.com/mzy2240/EasySimauto.jl,,Apache-2.0,Julia interface for EasySimAuto and PowerWorld.,https://github.com/mzy2240/EasySimauto.jl,2022-09-16 15:59:20.000,2023-07-31 19:46:50.000,2023-07-31 19:46:46,15.0,,1.0,,,2.0,4.0,2022-09-27 15:08:27.000,0.1.0,1.0,2.0,3,True,,['julia'],,,,,,,,,,,,,,3.0,,,,,,,
93,OpenDSS,phasor,,,https://www.epri.com/pages/sa/opendss,https://opendss.epri.com/opendss_documentation.html,BSD,Distribution system simulator.,,,,,,,,,,,,,,,,2,True,,,,,,,,,,,,,,,,3.0,,,,,,,
