,name,category,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,labels,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,updated_github_id,new_addition
46,pandapipes,gasnet,,e2nIEE/pandapipes,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,https://www.pandapipes.org/,2020-02-03 15:04:57,2025-02-06 13:37:22.000000,2025-02-06 13:37:18,2141.0,63.0,78.0,158.0,24.0,24,True,https://jkpandapipes.readthedocs.io/en/latest/,13.0,493.0,87.0,2024-11-07 15:24:10.000,0.11.0,19.0,"['gha', 'pypi', 'jupyter', 'python']",28.0,pandapipes,,,4086.0,35.0,27.0,https://pypi.org/project/pandapipes,2024-12-04 13:21:51.000,8.0,4086.0,,,,1.0,,,,,,,,
47,PowSyBl Core,steady-state,,powsybl/powsybl-core,MPL-2.0,Framework to build power system software.,https://github.com/powsybl/powsybl-core,https://www.powsybl.org,2017-09-29 14:51:18,2025-02-06 17:18:14.000000,2025-02-04 11:21:51,3383.0,43.0,271.0,128.0,114.0,24,True,https://www.javadoc.io/doc/com.powsybl/powsybl-core/latest/,22.0,2761.0,345.0,2025-01-23 09:56:20.000,6.6.1,100.0,"['gha', 'java']",62.0,,,,,88.0,88.0,,,,,,,,2.0,,,,,,,,
48,CBC,ops,,coin-or/Cbc,EPL-2.0,COIN-OR Branch-and-Cut solver.,https://github.com/coin-or/Cbc,https://www.coin-or.org/,2019-03-02 23:20:41,2025-02-05 12:38:14.000000,2025-02-05 12:38:00,2506.0,116.0,136.0,844.0,34.0,23,True,https://coin-or.github.io/Cbc/Doxygen/,41.0,78.0,354.0,2024-08-20 07:17:43.000,releases/2.10.12,14.0,"['gha', 'conda', 'python', 'julia', 'c']",12.0,,conda-forge/coincbc,37163.0,23833.0,,,,,,,https://anaconda.org/conda-forge/coincbc,2024-09-03 09:37:28.541,1211384.0,3.0,,,,,,,,
49,Clp,ops,,coin-or/Cbc,EPL-2.0,COIN-OR Linear Programming Solver.,https://github.com/coin-or/Cbc,https://www.coin-or.org/,2019-03-02 23:20:41,2025-02-05 12:38:14.000000,2025-02-05 12:38:00,2506.0,116.0,136.0,844.0,34.0,23,True,https://coin-or.github.io/Clp/,41.0,78.0,354.0,2024-08-20 07:17:43.000,releases/2.10.12,11.0,"['gha', 'conda', 'python', 'julia', 'c']",12.0,,conda-forge/coin-or-clp,37163.0,16535.0,,,,,,,https://anaconda.org/conda-forge/coin-or-clp,2024-08-22 11:56:15.953,847880.0,3.0,,,,,,,,
50,Grid2Op,mrl,,rte-france/Grid2Op,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/Grid2op/grid2op,https://l2rpn.chalearn.org/,2019-10-10 17:04:46,2025-01-28 08:20:00.000000,2025-01-28 08:19:19,3158.0,117.0,57.0,308.0,32.0,23,True,https://grid2op.readthedocs.io/en/latest/,20.0,298.0,312.0,2024-10-15 12:45:49.000,1.10.5,87.0,"['gha', 'pypi', 'jupyter', 'python']",2.0,Grid2Op,,,3339.0,20.0,,https://pypi.org/project/Grid2Op,2024-12-16 16:25:30.000,20.0,3182.0,,,,1.0,,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,10077.0,1.0,Grid2op/grid2op,
51,PyPowSyBl,steady-state,,powsybl/pypowsybl,MPL-2.0,A PowSyBl and Python integration.,https://github.com/powsybl/pypowsybl,https://www.powsybl.org,2020-11-09 10:30:33,2025-02-06 13:25:04.000000,2025-02-06 13:25:02,697.0,12.0,68.0,62.0,31.0,23,True,https://pypowsybl.readthedocs.io/en/latest/,21.0,729.0,157.0,2025-01-14 14:24:45.000,1.9.0,43.0,"['gha', 'pypi', 'python', 'java', 'jupyter']",41.0,pypowsybl,,262.0,10897.0,7.0,,https://pypi.org/project/pypowsybl,2025-01-14 14:02:01.000,7.0,10892.0,,,,2.0,,,,,,,,
52,LightSim2Grid,steady-state,,BDonnot/lightsim2grid,MPL-2.0,A fast backend for the Grid2Op.,https://github.com/Grid2op/lightsim2grid,https://l2rpn.chalearn.org/,2020-03-09 07:35:27,2025-02-06 08:38:32.000000,2025-02-06 08:38:32,856.0,11.0,18.0,53.0,6.0,23,True,https://lightsim2grid.readthedocs.io/en/latest/,3.0,50.0,36.0,2025-02-05 08:24:28.000,0.10.1,32.0,"['gha', 'pypi', 'python']",48.0,LightSim2Grid,,282.0,25097.0,74.0,52.0,https://pypi.org/project/LightSim2Grid,2025-02-05 08:24:28.000,22.0,25087.0,,,,2.0,,bdonnot/lightsim2grid,https://hub.docker.com/r/bdonnot/lightsim2grid,2022-02-01 17:50:28.347059,319.0,,Grid2op/lightsim2grid,
53,PowerSimulations.jl,steady-state,,NREL-Sienna/PowerSimulations.jl,BSD-3,Power Systems optimization simulation and modeling; NREL Sienna.,https://github.com/NREL-Sienna/PowerSimulations.jl,https://www.nrel.gov/analysis/sienna.html,2017-11-03 21:11:22,2025-02-06 17:45:28.000000,2025-02-05 22:47:30,9402.0,59.0,50.0,289.0,38.0,22,True,https://nrel-sienna.github.io/PowerSimulations.jl/latest,20.0,856.0,315.0,2025-02-06 17:45:29.000,0.30.0,100.0,"['gha', 'julia']",135.0,,,,,,,,,,,,,,2.0,,,,,,,,
54,GridPath,steady-state,,blue-marble/gridpath,Apache-2,Power system planning and operations.,https://github.com/blue-marble/gridpath,https://www.gridpath.io/,2016-08-12 18:13:28,2025-02-06 00:13:28.000000,2025-02-05 20:17:05,1520.0,36.0,76.0,103.0,11.0,22,True,https://gridpath.readthedocs.io/en/latest/?badge=latest,11.0,876.0,260.0,2025-01-21 23:49:30.000,2025.2.0,28.0,"['gha', 'python']",54.0,GridPath,,1251.0,454.0,4.0,4.0,https://pypi.org/project/GridPath,2025-01-21 23:49:30.000,,433.0,,,,2.0,,,,,,,,
55,Dynaωo,phasor,,dynawo/dynawo,MPL-2.0,C++/Modelica simulation tools for power systems.,https://github.com/dynawo/dynawo,http://dynawo.org,2019-01-29 13:29:35,2025-02-06 16:57:20.000000,2025-02-06 12:45:38,2422.0,24.0,122.0,79.0,56.0,22,True,https://dynawo.github.io/docs/,9.0,2059.0,1378.0,2024-05-21 08:44:47.000,1.6.0,18.0,"['gha', 'modelica']",60.0,,,17163.0,235.0,,,,,,,,,,1.0,,,,,,,,
56,DPsim,emt,,sogno-platform/dpsim,MPL-2.0,Simulation for both EMT and phasor.,https://github.com/sogno-platform/dpsim,https://dpsim.fein-aachen.org/,2020-01-29 08:49:59,2025-01-31 11:23:57.000000,2025-01-24 19:19:39,4614.0,53.0,83.0,76.0,34.0,22,True,https://dpsim.fein-aachen.org/docs/,10.0,199.0,65.0,2023-07-13 13:38:01.948,1.1.1,9.0,"['gha', 'pypi', 'jupyter', 'python', 'c']",63.0,dpsim,,,360.0,10.0,10.0,https://pypi.org/project/dpsim,2022-12-10 09:56:59.646,,360.0,,,,1.0,,,,,,,,
57,AMPLPY,ops,,ampl/amplpy,BSD-3,Python API for AMPL.,https://github.com/ampl/amplpy,https://ampl.com/,2017-06-27 00:22:07,2025-02-06 17:04:55.000000,2025-02-06 14:25:36,789.0,19.0,1.0,74.0,9.0,22,True,https://amplpy.readthedocs.io/en/latest/,13.0,7.0,46.0,2024-05-23 16:41:59.000,0.14.0,171.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",30.0,amplpy,conda-forge/amplpy,,83213.0,107.0,103.0,https://pypi.org/project/amplpy,2024-11-26 20:18:45.000,4.0,75939.0,https://anaconda.org/conda-forge/amplpy,2024-05-30 08:48:34.747,392808.0,3.0,,,,,,,,
58,PyPSA-Eur,steady-state,,PyPSA/pypsa-eur,MIT,Sector-Coupled Optimisation Model of the European Energy System.,https://github.com/PyPSA/pypsa-eur,https://pypsa.org,2017-10-11 23:54:41,2025-02-06 16:13:01.000000,2025-02-06 16:04:30,5432.0,249.0,151.0,386.0,82.0,21,True,https://pypsa-eur.readthedocs.io/en/latest/?badge=latest,18.0,1035.0,372.0,2025-01-24 21:21:36.000,2025.01.0,18.0,"['gha', 'python']",91.0,,,,,,,,,,,,,,2.0,,nimfetrisa/pypsa-eur,https://hub.docker.com/r/nimfetrisa/pypsa-eur,,,,,
59,PYPOWER,steady-state,,rwl/PYPOWER,BSD,Port of MATPOWER to Python.,https://github.com/rwl/PYPOWER,rwl.github.io/PYPOWER/api/,2009-05-22 12:14:47,2024-09-02 19:20:30.000000,2024-09-02 19:19:24,353.0,110.0,33.0,352.0,20.0,21,True,http://rwl.github.io/PYPOWER/index.html,25.0,44.0,12.0,2024-09-02 19:20:30.000,5.1.17,18.0,"['gha', 'pypi', 'conda', 'python']",,PYPOWER,invenia/pypower,,18174.0,144.0,130.0,https://pypi.org/project/PYPOWER,2024-09-02 19:20:30.000,14.0,18140.0,https://anaconda.org/invenia/pypower,2023-06-16 13:21:19.108,3172.0,2.0,,hwanghust/pypower,https://hub.docker.com/r/hwanghust/pypower,2019-05-19 07:28:05.197725,24.0,,,
60,MATPOWER,steady-state,,MATPOWER/matpower,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,https://matpower.org/,2016-12-16 19:12:30,2024-10-09 19:00:43.032147,2024-10-09 17:56:04,2537.0,153.0,19.0,443.0,18.0,20,True,https://matpower.org/doc/,30.0,46.0,190.0,2024-05-17 23:07:00.000,8.0,5.0,"['gha', 'octave']",,,,510455.0,6826.0,,,,,,,,,,2.0,,matpower/matpower,https://hub.docker.com/r/matpower/matpower,2024-10-09 19:00:43.032147,1971.0,,,
61,PyOptInterface,opl,,metab0t/PyOptInterface,MPL-2.0,Efficient modeling interface for optimization in Python.,https://github.com/metab0t/PyOptInterface,https://github.com/metab0t/PyOptInterface,2023-06-13 16:11:33,2025-01-27 09:30:32.000000,2025-01-27 09:10:15,388.0,13.0,3.0,256.0,2.0,20,True,https://metab0t.github.io/PyOptInterface/,5.0,2.0,16.0,2025-01-27 09:30:32.000,0.4.0,13.0,"['gha', 'pypi', 'jupyter', 'python']",102.0,pyoptinterface,,,5038.0,16.0,12.0,https://pypi.org/project/pyoptinterface,2025-01-27 09:30:32.000,4.0,5038.0,,,,3.0,,,,,,,,
62,GridLAB-D,phasor,,gridlab-d/gridlab-d,https://github.com/gridlab-d/gridlab-d/blob/master/LICENSE,Distribution power system simulator.,https://github.com/gridlab-d/gridlab-d,https://www.gridlabd.org/,2016-08-29 17:43:21,2025-01-07 00:32:10.000000,2024-02-22 22:43:24,4394.0,104.0,325.0,166.0,75.0,20,True,https://gridlab-d.shoutwiki.com/wiki/Source_documentation,25.0,151.0,1009.0,2025-01-07 00:39:44.000,5.3.0,7.0,"['c', 'gha']",,,,5531.0,66.0,,,,,,,,,,2.0,,,,,,,,
63,PowerModels.jl,steady-state,,lanl-ansi/PowerModels.jl,BSD,Power Network Optimization.,https://github.com/lanl-ansi/PowerModels.jl,https://github.com/lanl-ansi/PowerModels.jl,2016-08-01 20:30:54,2025-01-24 21:49:15.000000,2024-11-03 21:58:51,985.0,153.0,93.0,405.0,30.0,19,True,https://lanl-ansi.github.io/PowerModels.jl/stable/,24.0,448.0,400.0,2024-11-04 01:25:21.000,0.21.3,78.0,"['gha', 'julia']",,,,,,,,,,,,,,,2.0,,,,,,,,
64,GenX,steady-state,,GenXProject/GenX,GPL-2.0,Configurable capacity expansion model.,https://github.com/GenXProject/GenX.jl,https://energy.mit.edu/genx/,2021-05-19 17:57:57,2025-02-05 22:53:31.000000,2025-02-05 04:13:13,1102.0,121.0,47.0,287.0,35.0,19,True,https://genxproject.github.io/GenX/dev/,16.0,535.0,245.0,2025-02-05 04:40:15.000,0.4.4,16.0,['julia'],32.0,,,,,,,,,,,,,,2.0,,,,,,,GenXProject/GenX.jl,
65,PIQP,ops,,PREDICT-EPFL/piqp,BSD-2,Proximal Interior Point Quadratic Programming solver.,https://github.com/PREDICT-EPFL/piqp,https://github.com/PREDICT-EPFL/piqp,2023-01-25 13:55:12,2025-02-05 15:01:30.000000,2024-10-15 09:58:32,344.0,14.0,5.0,96.0,3.0,19,True,https://predict-epfl.github.io/piqp/,7.0,3.0,6.0,2024-08-02 09:55:10.000,0.4.2,14.0,"['gha', 'pypi', 'conda', 'python', 'c', 'octave', 'r']",,piqp,conda-forge/piqp,477.0,54166.0,43.0,35.0,https://pypi.org/project/piqp,2024-08-02 09:55:10.000,8.0,43463.0,https://anaconda.org/conda-forge/piqp,2024-10-31 15:55:38.087,192252.0,3.0,,,,,,,,
66,OpenDSSDirect.py,intf,,dss-extensions/OpenDSSDirect.py,MIT,A direct library interface to OpenDSS.,https://github.com/dss-extensions/OpenDSSDirect.py,https://dss-extensions.org/,2017-06-20 19:18:22,2024-03-29 06:05:46.000000,2024-03-29 05:10:43,451.0,22.0,15.0,90.0,3.0,19,True,https://dss-extensions.org/OpenDSSDirect.py/,14.0,31.0,89.0,2024-03-29 06:18:05.000,0.9.4,43.0,"['gha', 'pypi', 'python', 'jupyter']",,OpenDSSDirect.py,,,4063.0,81.0,65.0,https://pypi.org/project/OpenDSSDirect.py,2021-03-11 01:53:34.000,16.0,4063.0,,,,1.0,,,,,,,,
67,OpenIPSL,phasor,,OpenIPSL/OpenIPSL,BSD-3,A library of power system component models written in the Modelica.,https://github.com/OpenIPSL/OpenIPSL,https://github.com/OpenIPSL/OpenIPSL,2016-04-16 09:09:47,2024-12-19 08:18:59.000000,2024-12-17 17:15:46,1849.0,52.0,16.0,83.0,34.0,19,True,https://doc.openipsl.org,21.0,237.0,106.0,2022-06-23 13:05:59.000,3.0.1,15.0,"['gha', 'modelica']",51.0,,,504.0,4.0,,,,,,,,,,2.0,,,,,,,,
68,PyPSA-USA,steady-state,,PyPSA/pypsa-usa,MIT,Power System Model for the United States.,https://github.com/PyPSA/pypsa-usa,https://pypsa.org,2022-06-07 15:13:26,2025-02-04 18:43:05.000000,2025-01-28 02:59:51,2308.0,27.0,87.0,72.0,12.0,19,True,https://pypsa-usa.readthedocs.io/,5.0,230.0,207.0,2025-01-09 21:46:35.000,0.5.0,6.0,['python'],178.0,,,,,,,,,,,,,,2.0,,,,,,,,
69,PowerGenome,steady-state,,PowerGenome/PowerGenome,MIT,Create inputs for power systems models.,https://github.com/PowerGenome/PowerGenome,https://groups.io/g/powergenome,2019-07-18 17:33:40,2025-02-03 17:00:22.000000,2024-10-17 18:37:02,1758.0,65.0,72.0,202.0,17.0,18,True,https://github.com/PowerGenome/PowerGenome/wiki,18.0,204.0,79.0,2024-05-14 20:58:08.000,0.6.3,18.0,"['gha', 'pypi', 'conda', 'python']",,PowerGenome,conda-forge/powergenome,,298.0,,,https://pypi.org/project/PowerGenome,2024-05-14 20:58:08.000,,239.0,https://anaconda.org/conda-forge/powergenome,2024-01-02 04:04:47.685,777.0,3.0,,,,,,,,
70,REopt,steady-state,,NREL/REopt_API,BSD-3,Renewable Energy Integration & Optimization.,https://github.com/NREL/REopt_API,https://www.nrel.gov/reopt/,2018-12-17 21:24:59,2025-02-05 18:28:08.000000,2025-01-23 21:46:16,5246.0,44.0,44.0,94.0,22.0,18,True,,9.0,545.0,40.0,2025-01-22 21:41:36.000,3.11.0,56.0,"['gha', 'python', 'julia']",36.0,,,573.0,9.0,,,,,,,,,,3.0,,,,,,,,
71,py-dss-interface,intf,,PauloRadatz/py_dss_interface,MIT,A package for access to direct dll version of OpenDSS.,https://github.com/PauloRadatz/py_dss_interface,https://github.com/PauloRadatz/py_dss_interface,2020-06-12 18:58:36,2025-01-31 12:30:01.000000,2025-01-31 12:22:28,617.0,9.0,34.0,27.0,6.0,18,True,https://py-dss-interface.readthedocs.io/en/latest/,6.0,48.0,21.0,2024-03-21 00:57:23.000,2.0.4,19.0,"['gha', 'pypi', 'python', 'jupyter']",10.0,py-dss-interface,,,1013.0,37.0,33.0,https://pypi.org/project/py-dss-interface,2024-03-21 00:57:23.000,4.0,1013.0,,,,1.0,2.0,,,,,,,
72,PowSyBl Diagram,vis,,powsybl/powsybl-diagram,MPL-2.0,single-line substation diagrams and network graph diagrams.,https://github.com/powsybl/powsybl-diagram,https://www.powsybl.org,2019-10-11 11:25:46,2025-02-05 09:37:24.000000,2024-12-16 14:46:21,522.0,13.0,61.0,78.0,27.0,17,True,https://www.powsybl.org/pages/documentation/developer/api_guide/svg-writing.html,20.0,505.0,104.0,2024-12-16 15:13:24.000,4.7.0,49.0,"['gha', 'java', 'jupyter']",8.0,,,,,30.0,30.0,,,,,,,,1.0,,,,,,,,
73,RSOME,opl,,XiongPengNUS/rsome,GPL-3,Robust Stochastic Optimization Made Easy.,https://github.com/XiongPengNUS/rsome,https://github.com/XiongPengNUS/rsome,2020-07-26 13:00:05,2024-11-15 13:40:52.000000,2024-11-15 13:40:10,218.0,57.0,7.0,303.0,3.0,16,True,https://xiongpengnus.github.io/rsome/,4.0,20.0,37.0,2024-06-25 13:42:14.000,1.3.0,34.0,"['gha', 'pypi', 'jupyter', 'python']",1.0,rsome,,,3694.0,4.0,,https://pypi.org/project/rsome,2024-10-29 06:05:15.000,4.0,3694.0,,,,3.0,,,,,,,,
74,Clarabel.jl,ops,,oxfordcontrol/Clarabel.jl,Apache-2.0,Interior-point solver for convex conic optimisation in Julia.,https://github.com/oxfordcontrol/Clarabel.jl,https://github.com/oxfordcontrol/Clarabel.jl,2021-11-09 14:28:22,2025-02-03 10:23:44.000000,2025-02-03 10:23:43,880.0,17.0,6.0,189.0,11.0,16,True,https://oxfordcontrol.github.io/ClarabelDocs/stable/,5.0,132.0,48.0,2025-02-02 20:51:00.000,0.10.0,16.0,"['gha', 'julia']",29.0,,,,,,,,,,,,,,3.0,2.0,,,,,,,
75,MadNLP,ops,,MadNLP/MadNLP.jl,MIT,A solver for nonlinear programming with GPU support.,https://github.com/MadNLP/MadNLP.jl,https://github.com/MadNLP/MadNLP.jl,2020-09-16 23:07:35,2025-02-06 17:14:09.000000,2025-02-06 17:09:02,496.0,16.0,40.0,178.0,15.0,16,True,https://madnlp.github.io/MadNLP.jl/stable/,11.0,316.0,50.0,2025-01-10 13:18:45.000,0.8.5,22.0,"['gha', 'julia']",25.0,,,,,,,,,,,,,,3.0,,,,,,,,
76,SimBench,data,,e2nIEE/simbench,odbl-1.0,Benchmark dataset of German LV/MV/HV grids including 15min time series for 1 year.,https://github.com/e2nIEE/simbench,https://simbench.de/en/,2019-05-13 14:10:08,2025-02-04 12:59:58.000000,2025-02-04 12:59:51,143.0,29.0,3.0,112.0,4.0,16,True,https://simbench.readthedocs.io/en/stable/?badge=stable,6.0,22.0,29.0,2024-04-23 14:13:23.000,.1.5.3,9.0,"['python', 'pypi', 'juptyer', 'gha']",1.0,simbench,,,2379.0,49.0,42.0,https://pypi.org/project/simbench,2024-04-23 13:51:51.000,7.0,2379.0,,,,3.0,,,,,,,,
77,CIMpy,intf,,sogno-platform/cimpy,MPL-2.0,CIM files to the XML/RDF format.,https://github.com/sogno-platform/cimpy,https://github.com/sogno-platform/cimpy,2020-01-29 08:22:48,2025-01-18 18:48:04.000000,2025-01-04 18:15:07,220.0,23.0,12.0,55.0,11.0,16,True,https://sogno.energy/cimpy/,4.0,26.0,12.0,2024-06-20 20:41:41.000,1.1.0,9.0,"['gha', 'python']",6.0,cimpy,,,511.0,9.0,8.0,https://pypi.org/project/cimpy,2024-06-20 20:41:41.000,1.0,511.0,,,,2.0,,,,,,,,
78,Easy SimAuto,intf,,mzy2240/ESA,Apache-2.0,Python interface to PowerWorld.,https://github.com/mzy2240/ESA,https://github.com/mzy2240/ESA,2019-10-08 21:37:23,2025-01-16 22:58:54.000000,2025-01-16 22:58:54,665.0,13.0,15.0,45.0,12.0,16,True,https://mzy2240.github.io/ESA/html/index.html,5.0,17.0,85.0,2023-06-05 21:19:00.512,1.3.5,52.0,"['pypi', 'python']",2.0,esa,,,1980.0,7.0,6.0,https://pypi.org/project/esa,2022-05-21 02:37:41.000,1.0,1980.0,,,,2.0,,,,,,,,
79,LTB AMS,steady-state,,CURENT/ams,GPL-3,Scheduling Modeling and Simulation; CURENT LTB.,https://github.com/CURENT/ams,https://ltb.curent.org/,2022-10-05 11:57:30,2025-02-03 02:15:00.000000,2025-02-02 15:30:49,2172.0,6.0,1.0,9.0,4.0,16,True,https://ams.readthedocs.io/en/latest/,2.0,112.0,2.0,2025-02-02 14:00:24.000,1.0.3a1,24.0,"['gha', 'azure', 'pypi', 'conda', 'jupyter', 'python']",313.0,ltbams,conda-forge/ltbams,4.0,1818.0,3.0,3.0,https://pypi.org/project/ltbams,2025-02-02 13:59:53.000,,1042.0,https://anaconda.org/conda-forge/ltbams,2025-02-02 12:41:17.654,9321.0,3.0,,,,,,,,
80,PowerSimulationsDynamics.jl,phasor,,NREL-Sienna/PowerSimulationsDynamics.jl,BSD-3,Dynamic Power System simulations; NREL Sienna.,https://github.com/NREL-Sienna/PowerSimulationsDynamics.jl,https://www.nrel.gov/analysis/sienna.html,2020-07-16 19:36:16,2024-10-21 23:52:13.000000,2024-10-21 23:36:52,2413.0,39.0,43.0,191.0,15.0,15,True,https://nrel-sienna.github.io/PowerSimulationsDynamics.jl/stable,15.0,240.0,90.0,2024-06-05 04:15:13.000,0.14.2,41.0,"['gha', 'julia']",,,,,,,,,,,,,,,2.0,,,,,,,,
81,EGRET,steady-state,,grid-parity-exchange/Egret,BSD,Tools for Power Systems Optimization Modeling.,https://github.com/grid-parity-exchange/Egret,https://github.com/grid-parity-exchange/Egret,2019-01-28 18:41:03,2025-02-04 01:01:11.000000,2025-02-04 01:01:11,1065.0,49.0,45.0,136.0,38.0,15,True,,14.0,234.0,38.0,2023-04-03 23:11:48.000,0.5.5,6.0,"['gha', 'python']",4.0,,,,,9.0,9.0,,,,,,,,3.0,,,,,,,,
82,ReEDS-2.0,steady-state,,NREL/ReEDS-2.0,GPL-3.0,Capacity planning and dispatch model.,https://github.com/NREL/ReEDS-2.0,https://www.nrel.gov/analysis/reeds/,2019-05-28 15:57:01,2025-01-23 22:01:58.000000,2025-01-23 22:00:07,86.0,22.0,3.0,133.0,14.0,15,True,https://www.nrel.gov/docs/fy21osti/78195.pdf,138.0,35.0,21.0,2025-01-23 22:01:43.000,2025.0.0,8.0,['python'],11.0,,,,,,,,,,,,,,3.0,,,,,,,,
83,OpenDER,phasor,,epri-dev/OpenDER,BSD-3,Inverter-based DER simulation.,https://github.com/epri-dev/OpenDER,https://www.epri.com/OpenDER,2022-04-26 22:09:28,2025-01-16 17:48:40.000000,2025-01-16 17:48:40,123.0,22.0,,58.0,2.0,15,True,,18.0,13.0,1.0,2025-01-14 13:32:09.000,2.1.6,14.0,"['pypi', 'jupyter', 'python']",3.0,opender,,,1515.0,3.0,3.0,https://pypi.org/project/opender,2025-01-14 13:32:09.000,,1515.0,,,,2.0,,,,,,,,
84,STEPS,phasor,,changgang/steps,MIT,Balanced large-scale AC-DC hybrid power system analysis.,https://github.com/changgang/steps,https://github.com/changgang/steps,2019-08-24 12:09:47,2024-09-22 02:32:39.000000,2024-03-24 14:56:04,588.0,19.0,1.0,49.0,4.0,15,True,https://github.com/changgang/steps/wiki/,5.0,,2.0,2024-09-22 02:32:39.000,2.2.1,44.0,"['c', 'python']",,stepspy,,46.0,1646.0,7.0,7.0,https://pypi.org/project/stepspy,2024-09-22 02:32:39.000,,1646.0,,,,2.0,,,,,,,,
85,dsgrid,dataman,,dsgrid/dsgrid,BSD-3,"Demand-side grid projects, datasets and queries.",https://github.com/dsgrid/dsgrid,https://github.com/dsgrid/dsgrid,2020-12-09 23:51:36,2025-01-29 01:10:07.000000,2024-12-20 23:40:36,1683.0,3.0,54.0,26.0,6.0,15,True,https://dsgrid.github.io/dsgrid,5.0,225.0,67.0,2024-12-12 20:46:21.000,0.1.0,1.0,"['gha', 'python']",14.0,,,,,,,,,,,,,,1.0,,,,,,,,
86,PowerNetworkMatrices.jl,steady-state,,NREL-Sienna/PowerNetworkMatrices.jl,BSD-3,Power systems matrices; NREL Sienna.,https://github.com/NREL-Sienna/PowerNetworkMatrices.jl,https://www.nrel.gov/analysis/sienna.html,2022-11-16 21:59:51,2025-02-05 16:36:55.000000,2025-02-05 16:14:06,620.0,9.0,19.0,22.0,8.0,15,True,https://nrel-sienna.github.io/PowerNetworkMatrices.jl/stable/,5.0,52.0,26.0,2025-02-05 16:31:09.000,0.12.1,29.0,"['gha', 'julia']",33.0,,,,,,,,,,,,,,3.0,,,,,,,,
87,dGen,dataman,,NREL/dgen,BSD-3,The Distributed Generation Market Demand (dGen) model.,https://github.com/NREL/dgen,https://github.com/NREL/dgen,2020-04-15 15:51:02,2025-01-30 22:57:03.000000,2024-12-18 16:04:01,125.0,139.0,16.0,60.0,7.0,14,True,https://nrel.github.io/dgen/,20.0,17.0,19.0,2024-12-18 17:32:05.000,2.0.0,2.0,"['python', 'jupyter']",20.0,,,,,,,,,,,,,,3.0,,,,,,,,
88,PowerGraphics.jl,vis,,NREL-Sienna/powergraphics.jl,BSD-3,Visualization for PowerSimulations; NREL Sienna.,https://github.com/NREL-Sienna/PowerGraphics.jl,https://www.nrel.gov/analysis/sienna.html,2020-02-19 23:29:27,2024-12-17 23:29:14.000000,2024-12-17 22:59:31,573.0,11.0,16.0,30.0,9.0,14,True,https://nrel-sienna.github.io/PowerGraphics.jl/stable/,11.0,82.0,23.0,2024-12-17 23:22:36.000,0.19.0,42.0,"['gha', 'julia', 'jupyter']",7.0,,,,,,,,,,,,,,3.0,,,,,,,,
89,Open RAO,steady-state,,powsybl/powsybl-open-rao,MPL-2.0,Power systems coordinated capacity calculation and security analysis.,https://github.com/powsybl/powsybl-open-rao,https://www.powsybl.org,2018-11-22 10:41:50,2025-02-06 15:49:04.000000,2025-02-06 07:23:55,978.0,8.0,36.0,18.0,35.0,14,True,https://powsybl.readthedocs.io/projects/openrao/en/stable/?badge=stable,4.0,1138.0,92.0,2024-12-19 16:44:05.000,6.2.1,76.0,"['gha', 'java']",38.0,,,51.0,0.0,,,,,,,,,,3.0,,,,,,,,
90,ExaGO,steady-state,,pnnl/ExaGO,BSD-3,Large-scale power grid optimization.,https://github.com/pnnl/ExaGO,https://www.gridpath.io/,2023-08-02 21:05:34,2025-01-30 20:24:00.000000,2024-12-15 04:34:14,1151.0,10.0,47.0,76.0,30.0,13,True,https://github.com/pnnl/ExaGO/blob/develop/docs/manual/manual.pdf,11.0,79.0,38.0,2023-10-25 18:01:10.000,1.6.0,1.0,"['gha', 'jupyter', 'c']",1.0,,,,,,,,,,,,,,3.0,,,,,,,,
91,PowerSystems,phasor,,modelica-3rdparty/PowerSystems,https://modelica.org/licenses/ModelicaLicense2/,Modelica 3rd party library for electrical power systems.,https://github.com/modelica-3rdparty/PowerSystems,https://github.com/modelica-3rdparty/PowerSystems,2013-04-19 08:46:45,2024-05-07 09:11:07.000000,2024-05-07 08:58:45,190.0,35.0,14.0,68.0,10.0,13,True,https://build.openmodelica.org/Documentation/PowerSystems.html,31.0,17.0,27.0,2024-05-07 09:11:07.000,2.0.0,7.0,['modelica'],,,,,,,,,,,,,,,3.0,,,,,,,,
