,name,category,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,labels,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,updated_github_id,new_addition
45,powerplantmatching,data,,PyPSA/powerplantmatching,BSD-2,Tools to combine multiple power plant databases.,https://github.com/PyPSA/powerplantmatching,https://pypsa.org,2016-08-15 16:36:25,2025-02-04 09:08:17.000000,2025-02-04 09:08:15,983.0,61.0,18.0,171.0,33.0,24,True,https://atlite.readthedocs.io/en/master/?badge=master,20.0,135.0,72.0,2025-02-01 11:01:49.000,0.7.1,33.0,18.0,"['gha', 'pypi', 'conda', 'python']",powerplantmatching,conda-forge/powerplantmatching,87.0,2834.0,71.0,71.0,https://pypi.org/project/powerplantmatching,2025-02-01 11:01:49.000,,1648.0,https://anaconda.org/conda-forge/powerplantmatching,2025-02-01 21:53:28.804,59277.0,2.0,,,,,,,,
46,pandapipes,gasnet,,e2nIEE/pandapipes,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,https://www.pandapipes.org/,2020-02-03 15:04:57,2025-02-18 09:05:40.000000,2025-02-06 13:37:18,2141.0,63.0,78.0,164.0,24.0,24,True,https://jkpandapipes.readthedocs.io/en/latest/,12.0,493.0,87.0,2024-11-07 15:24:10.000,0.11.0,19.0,27.0,"['gha', 'pypi', 'jupyter', 'python']",pandapipes,,,3985.0,35.0,27.0,https://pypi.org/project/pandapipes,2024-12-04 13:21:51.000,8.0,3985.0,,,,1.0,,,,,,,,
47,PowSyBl Core,steady-state,,powsybl/powsybl-core,MPL-2.0,Framework to build power system software.,https://github.com/powsybl/powsybl-core,https://www.powsybl.org,2017-09-29 14:51:18,2025-02-20 18:24:30.000000,2025-02-20 09:54:03,3399.0,43.0,271.0,130.0,114.0,24,True,https://www.javadoc.io/doc/com.powsybl/powsybl-core/latest/,22.0,2778.0,347.0,2025-01-23 09:56:20.000,6.6.1,100.0,68.0,"['gha', 'java']",,,,,88.0,88.0,,,,,,,,2.0,,,,,,,,
48,CBC,ops,,coin-or/Cbc,EPL-2.0,COIN-OR Branch-and-Cut solver.,https://github.com/coin-or/Cbc,https://www.coin-or.org/,2019-03-02 23:20:41,2025-02-20 17:04:40.000000,2025-02-20 17:02:53,2507.0,116.0,140.0,849.0,34.0,23,True,https://coin-or.github.io/Cbc/Doxygen/,41.0,78.0,354.0,2024-08-20 07:17:43.000,releases/2.10.12,14.0,10.0,"['gha', 'conda', 'python', 'julia', 'c']",,conda-forge/coincbc,39720.0,24122.0,,,,,,,https://anaconda.org/conda-forge/coincbc,2024-09-03 09:37:28.541,1224449.0,3.0,,,,,,,,
49,Clp,ops,,coin-or/Cbc,EPL-2.0,COIN-OR Linear Programming Solver.,https://github.com/coin-or/Cbc,https://www.coin-or.org/,2019-03-02 23:20:41,2025-02-20 17:04:40.000000,2025-02-20 17:02:53,2507.0,116.0,140.0,849.0,34.0,23,True,https://coin-or.github.io/Clp/,41.0,78.0,354.0,2024-08-20 07:17:43.000,releases/2.10.12,11.0,10.0,"['gha', 'conda', 'python', 'julia', 'c']",,conda-forge/coin-or-clp,39720.0,16834.0,,,,,,,https://anaconda.org/conda-forge/coin-or-clp,2024-08-22 11:56:15.953,861756.0,3.0,,,,,,,,
50,PowerSimulations.jl,steady-state,,NREL-Sienna/PowerSimulations.jl,BSD-3,Power Systems optimization simulation and modeling; NREL Sienna.,https://github.com/NREL-Sienna/PowerSimulations.jl,https://www.nrel.gov/analysis/sienna.html,2017-11-03 21:11:22,2025-02-18 23:20:22.000000,2025-02-17 05:57:04,9409.0,67.0,51.0,290.0,39.0,22,True,https://nrel-sienna.github.io/PowerSimulations.jl/latest,19.0,863.0,320.0,2025-02-06 17:45:29.000,0.30.0,100.0,137.0,"['gha', 'julia']",,,,,,,,,,,,,,2.0,,,,,,,,
51,PyPSA-Earth,steady-state,,pypsa-meets-earth/pypsa-earth,AGPL-3,Open optimisation model for study energy system futures.,https://github.com/pypsa-meets-earth/pypsa-earth,https://pypsa-meets-earth.github.io/,2021-02-28 19:26:35,2025-02-20 14:32:44.000000,2025-02-20 14:32:44,5921.0,214.0,160.0,248.0,72.0,22,True,https://pypsa-earth.readthedocs.io/,10.0,794.0,317.0,2024-12-24 14:24:19.000,0.6.0,12.0,270.0,"['gha', 'python']",,,,,,,,,,,,,,2.0,,,,,,,,True
52,GridPath,steady-state,,blue-marble/gridpath,Apache-2,Power system planning and operations.,https://github.com/blue-marble/gridpath,https://www.gridpath.io/,2016-08-12 18:13:28,2025-02-19 22:41:15.000000,2025-02-19 22:41:15,1528.0,36.0,76.0,104.0,11.0,22,True,https://gridpath.readthedocs.io/en/latest/?badge=latest,11.0,883.0,260.0,2025-02-06 22:41:37.000,2025.3.0,29.0,58.0,"['gha', 'python']",GridPath,,1255.0,504.0,4.0,4.0,https://pypi.org/project/GridPath,2025-02-06 22:41:37.000,,482.0,,,,2.0,,,,,,,,
53,Dynaωo,phasor,,dynawo/dynawo,MPL-2.0,C++/Modelica simulation tools for power systems.,https://github.com/dynawo/dynawo,http://dynawo.org,2019-01-29 13:29:35,2025-02-20 17:21:09.000000,2025-02-20 15:51:42,2431.0,24.0,125.0,79.0,56.0,22,True,https://dynawo.github.io/docs/,9.0,2074.0,1383.0,2024-05-21 08:44:47.000,1.6.0,18.0,57.0,"['gha', 'modelica']",,,17072.0,233.0,,,,,,,,,,1.0,,,,,,,,
54,DPsim,emt,,sogno-platform/dpsim,MPL-2.0,Simulation for both EMT and phasor.,https://github.com/sogno-platform/dpsim,https://dpsim.fein-aachen.org/,2020-01-29 08:49:59,2025-02-17 17:08:44.000000,2025-02-07 19:05:16,4616.0,54.0,83.0,76.0,34.0,22,True,https://dpsim.fein-aachen.org/docs/,10.0,203.0,65.0,2023-07-13 13:38:01.948,1.1.1,9.0,43.0,"['gha', 'pypi', 'jupyter', 'python', 'c']",dpsim,,,227.0,10.0,10.0,https://pypi.org/project/dpsim,2022-12-10 09:56:59.646,,227.0,,,,1.0,,,,,,,,
55,AMPLPY,ops,,ampl/amplpy,BSD-3,Python API for AMPL.,https://github.com/ampl/amplpy,https://ampl.com/,2017-06-27 00:22:07,2025-02-06 17:04:55.000000,2025-02-06 14:25:36,789.0,19.0,1.0,74.0,9.0,22,True,https://amplpy.readthedocs.io/en/latest/,13.0,7.0,46.0,2024-05-23 16:41:59.000,0.14.0,171.0,27.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",amplpy,conda-forge/amplpy,,71812.0,107.0,103.0,https://pypi.org/project/amplpy,2024-11-26 20:18:45.000,4.0,64434.0,https://anaconda.org/conda-forge/amplpy,2024-05-30 08:48:34.747,398424.0,3.0,,,,,,,,
56,PyPowSyBl,steady-state,,powsybl/pypowsybl,MPL-2.0,A PowSyBl and Python integration.,https://github.com/powsybl/pypowsybl,https://www.powsybl.org,2020-11-09 10:30:33,2025-02-20 08:58:16.000000,2025-02-12 13:00:23,703.0,12.0,70.0,63.0,31.0,22,True,https://pypowsybl.readthedocs.io/en/latest/,21.0,739.0,157.0,2025-02-11 14:12:01.000,1.10.0,44.0,41.0,"['gha', 'pypi', 'python', 'java', 'jupyter']",pypowsybl,,267.0,7680.0,8.0,,https://pypi.org/project/pypowsybl,2025-02-11 08:47:47.000,8.0,7675.0,,,,2.0,-2.0,,,,,,,
57,LightSim2Grid,steady-state,,BDonnot/lightsim2grid,MPL-2.0,A fast backend for the Grid2Op.,https://github.com/Grid2op/lightsim2grid,https://l2rpn.chalearn.org/,2020-03-09 07:35:27,2025-02-20 17:05:00.000000,2025-02-13 07:35:08,858.0,11.0,18.0,53.0,6.0,22,True,https://lightsim2grid.readthedocs.io/en/latest/,3.0,51.0,36.0,2025-02-13 08:37:45.000,0.10.1.post1,33.0,50.0,"['gha', 'pypi', 'python']",LightSim2Grid,,290.0,16170.0,75.0,53.0,https://pypi.org/project/LightSim2Grid,2025-02-13 09:13:17.000,22.0,16160.0,,,,2.0,,bdonnot/lightsim2grid,https://hub.docker.com/r/bdonnot/lightsim2grid,2022-02-01 17:50:28.347059,319.0,,Grid2op/lightsim2grid,
58,MATPOWER,steady-state,,MATPOWER/matpower,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,https://matpower.org/,2016-12-16 19:12:30,2025-02-18 16:47:44.265837,2025-02-18 16:07:44,2545.0,155.0,23.0,449.0,18.0,21,True,https://matpower.org/doc/,30.0,48.0,194.0,2024-05-17 23:07:00.000,8.0,5.0,8.0,"['gha', 'octave']",,,512671.0,6856.0,,,,,,,,,,2.0,,matpower/matpower,https://hub.docker.com/r/matpower/matpower,2025-02-18 16:47:44.265837,2066.0,,,
59,PyPSA-Eur,steady-state,,PyPSA/pypsa-eur,MIT,Sector-Coupled Optimisation Model of the European Energy System.,https://github.com/PyPSA/pypsa-eur,https://pypsa.org,2017-10-11 23:54:41,2025-02-18 16:20:40.000000,2025-02-17 15:28:46,5443.0,252.0,151.0,394.0,82.0,21,True,https://pypsa-eur.readthedocs.io/en/latest/?badge=latest,18.0,1048.0,374.0,2025-01-24 21:21:36.000,2025.01.0,18.0,81.0,"['gha', 'python']",,,,,,,,,,,,,,2.0,,nimfetrisa/pypsa-eur,https://hub.docker.com/r/nimfetrisa/pypsa-eur,,,,,
60,PYPOWER,steady-state,,rwl/PYPOWER,BSD,Port of MATPOWER to Python.,https://github.com/rwl/PYPOWER,rwl.github.io/PYPOWER/api/,2009-05-22 12:14:47,2024-09-02 19:20:30.000000,2024-09-02 19:19:24,353.0,111.0,33.0,355.0,20.0,21,True,http://rwl.github.io/PYPOWER/index.html,25.0,45.0,12.0,2024-09-02 19:20:30.000,5.1.17,18.0,,"['gha', 'pypi', 'conda', 'python']",PYPOWER,invenia/pypower,,19416.0,148.0,134.0,https://pypi.org/project/PYPOWER,2024-09-02 19:20:30.000,14.0,19382.0,https://anaconda.org/invenia/pypower,2023-06-16 13:21:19.108,3172.0,2.0,,hwanghust/pypower,https://hub.docker.com/r/hwanghust/pypower,2019-05-19 07:28:05.197725,24.0,,,
61,PyOptInterface,opl,,metab0t/PyOptInterface,MPL-2.0,Efficient modeling interface for optimization in Python.,https://github.com/metab0t/PyOptInterface,https://github.com/metab0t/PyOptInterface,2023-06-13 16:11:33,2025-01-27 09:30:32.000000,2025-01-27 09:10:15,388.0,13.0,3.0,260.0,2.0,20,True,https://metab0t.github.io/PyOptInterface/,5.0,2.0,16.0,2025-01-27 09:30:32.000,0.4.0,13.0,79.0,"['gha', 'pypi', 'jupyter', 'python']",pyoptinterface,,,2932.0,16.0,12.0,https://pypi.org/project/pyoptinterface,2025-01-27 09:30:32.000,4.0,2932.0,,,,3.0,,,,,,,,
62,GridLAB-D,phasor,,gridlab-d/gridlab-d,https://github.com/gridlab-d/gridlab-d/blob/master/LICENSE,Distribution power system simulator.,https://github.com/gridlab-d/gridlab-d,https://www.gridlabd.org/,2016-08-29 17:43:21,2025-02-17 17:04:11.000000,2024-02-22 22:43:24,4394.0,113.0,319.0,166.0,75.0,20,True,https://gridlab-d.shoutwiki.com/wiki/Source_documentation,25.0,151.0,1009.0,2025-01-07 00:39:44.000,5.3.0,7.0,,"['c', 'gha']",,,5662.0,68.0,,,,,,,,,,2.0,,,,,,,,
63,PowerModels.jl,steady-state,,lanl-ansi/PowerModels.jl,BSD,Power Network Optimization.,https://github.com/lanl-ansi/PowerModels.jl,https://github.com/lanl-ansi/PowerModels.jl,2016-08-01 20:30:54,2025-01-24 21:49:15.000000,2024-11-03 21:58:51,985.0,153.0,93.0,406.0,30.0,19,True,https://lanl-ansi.github.io/PowerModels.jl/stable/,24.0,451.0,400.0,2024-11-04 01:25:21.000,0.21.3,78.0,,"['gha', 'julia']",,,,,,,,,,,,,,2.0,,,,,,,,
64,GenX,steady-state,,GenXProject/GenX,GPL-2.0,Configurable capacity expansion model.,https://github.com/GenXProject/GenX.jl,https://energy.mit.edu/genx/,2021-05-19 17:57:57,2025-02-11 00:07:58.000000,2025-02-05 04:13:13,1102.0,122.0,49.0,290.0,35.0,19,True,https://genxproject.github.io/GenX/dev/,16.0,536.0,245.0,2025-02-05 04:40:15.000,0.4.4,16.0,28.0,['julia'],,,,,,,,,,,,,,2.0,,,,,,,GenXProject/GenX.jl,
65,PIQP,ops,,PREDICT-EPFL/piqp,BSD-2,Proximal Interior Point Quadratic Programming solver.,https://github.com/PREDICT-EPFL/piqp,https://github.com/PREDICT-EPFL/piqp,2023-01-25 13:55:12,2025-02-20 16:42:26.000000,2024-10-15 09:58:32,344.0,14.0,5.0,98.0,3.0,19,True,https://predict-epfl.github.io/piqp/,7.0,3.0,6.0,2024-08-02 09:55:10.000,0.4.2,14.0,,"['gha', 'pypi', 'conda', 'python', 'c', 'octave', 'r']",piqp,conda-forge/piqp,491.0,45523.0,46.0,38.0,https://pypi.org/project/piqp,2024-08-02 09:55:10.000,8.0,34630.0,https://anaconda.org/conda-forge/piqp,2024-10-31 15:55:38.087,195659.0,3.0,,,,,,,,
66,OpenDSSDirect.py,intf,,dss-extensions/OpenDSSDirect.py,MIT,A direct library interface to OpenDSS.,https://github.com/dss-extensions/OpenDSSDirect.py,https://dss-extensions.org/,2017-06-20 19:18:22,2024-03-29 06:05:46.000000,2024-03-29 05:10:43,451.0,22.0,15.0,91.0,3.0,19,True,https://dss-extensions.org/OpenDSSDirect.py/,14.0,31.0,89.0,2024-03-29 06:18:05.000,0.9.4,43.0,,"['gha', 'pypi', 'python', 'jupyter']",OpenDSSDirect.py,,,3912.0,84.0,68.0,https://pypi.org/project/OpenDSSDirect.py,2021-03-11 01:53:34.000,16.0,3912.0,,,,1.0,,,,,,,,
67,PyPSA-USA,steady-state,,PyPSA/pypsa-usa,MIT,Power System Model for the United States.,https://github.com/PyPSA/pypsa-usa,https://pypsa.org,2022-06-07 15:13:26,2025-02-18 17:34:36.000000,2025-02-11 00:59:46,2312.0,27.0,89.0,76.0,12.0,19,True,https://pypsa-usa.readthedocs.io/,5.0,250.0,214.0,2025-01-09 21:46:35.000,0.5.0,6.0,149.0,['python'],,,,,,,,,,,,,,2.0,,,,,,,,
68,PowerGenome,steady-state,,PowerGenome/PowerGenome,MIT,Create inputs for power systems models.,https://github.com/PowerGenome/PowerGenome,https://groups.io/g/powergenome,2019-07-18 17:33:40,2025-02-06 19:28:15.000000,2024-10-17 18:37:02,1758.0,66.0,72.0,203.0,17.0,18,True,https://github.com/PowerGenome/PowerGenome/wiki,18.0,205.0,79.0,2024-05-14 20:58:08.000,0.6.3,18.0,,"['gha', 'pypi', 'conda', 'python']",PowerGenome,conda-forge/powergenome,,225.0,,,https://pypi.org/project/PowerGenome,2024-05-14 20:58:08.000,,164.0,https://anaconda.org/conda-forge/powergenome,2024-01-02 04:04:47.685,800.0,3.0,,,,,,,,
69,REopt,steady-state,,NREL/REopt_API,BSD-3,Renewable Energy Integration & Optimization.,https://github.com/NREL/REopt_API,https://www.nrel.gov/reopt/,2018-12-17 21:24:59,2025-02-19 15:51:17.000000,2025-01-23 21:46:16,5246.0,52.0,44.0,95.0,22.0,18,True,,9.0,545.0,40.0,2025-01-22 21:41:36.000,3.11.0,56.0,28.0,"['gha', 'python', 'julia']",,,573.0,9.0,,,,,,,,,,3.0,,,,,,,,
70,py-dss-interface,intf,,PauloRadatz/py_dss_interface,MIT,A package for access to direct dll version of OpenDSS.,https://github.com/PauloRadatz/py_dss_interface,https://github.com/PauloRadatz/py_dss_interface,2020-06-12 18:58:36,2025-01-31 12:30:01.000000,2025-01-31 12:22:28,617.0,9.0,34.0,27.0,6.0,18,True,https://py-dss-interface.readthedocs.io/en/latest/,6.0,48.0,21.0,2024-03-21 00:57:23.000,2.0.4,19.0,10.0,"['gha', 'pypi', 'python', 'jupyter']",py-dss-interface,,,846.0,37.0,33.0,https://pypi.org/project/py-dss-interface,2024-03-21 00:57:23.000,4.0,846.0,,,,1.0,,,,,,,,
71,RSOME,opl,,XiongPengNUS/rsome,GPL-3,Robust Stochastic Optimization Made Easy.,https://github.com/XiongPengNUS/rsome,https://github.com/XiongPengNUS/rsome,2020-07-26 13:00:05,2024-11-15 13:40:52.000000,2024-11-15 13:40:10,218.0,57.0,7.0,305.0,3.0,17,True,https://xiongpengnus.github.io/rsome/,4.0,20.0,37.0,2024-06-25 13:42:14.000,1.3.0,34.0,,"['gha', 'pypi', 'jupyter', 'python']",rsome,,,1484.0,4.0,,https://pypi.org/project/rsome,2024-10-29 06:05:15.000,4.0,1484.0,,,,3.0,,,,,,,,
72,OpenIPSL,phasor,,OpenIPSL/OpenIPSL,BSD-3,A library of power system component models written in the Modelica.,https://github.com/OpenIPSL/OpenIPSL,https://github.com/OpenIPSL/OpenIPSL,2016-04-16 09:09:47,2024-12-19 08:18:59.000000,2024-12-17 17:15:46,1849.0,52.0,16.0,84.0,34.0,17,True,https://doc.openipsl.org,21.0,237.0,106.0,2022-06-23 13:05:59.000,3.0.1,15.0,8.0,"['gha', 'modelica']",,,504.0,4.0,,,,,,,,,,2.0,,,,,,,,
73,PowSyBl Diagram,vis,,powsybl/powsybl-diagram,MPL-2.0,single-line substation diagrams and network graph diagrams.,https://github.com/powsybl/powsybl-diagram,https://www.powsybl.org,2019-10-11 11:25:46,2025-02-13 18:29:33.000000,2024-12-16 14:46:21,522.0,14.0,61.0,80.0,27.0,17,True,https://www.powsybl.org/pages/documentation/developer/api_guide/svg-writing.html,20.0,506.0,104.0,2024-12-16 15:13:24.000,4.7.0,49.0,8.0,"['gha', 'java', 'jupyter']",,,,,30.0,30.0,,,,,,,,1.0,,,,,,,,
74,Clarabel.jl,ops,,oxfordcontrol/Clarabel.jl,Apache-2.0,Interior-point solver for convex conic optimisation in Julia.,https://github.com/oxfordcontrol/Clarabel.jl,https://github.com/oxfordcontrol/Clarabel.jl,2021-11-09 14:28:22,2025-02-03 10:23:44.000000,2025-02-03 10:23:43,880.0,17.0,7.0,193.0,11.0,16,True,https://oxfordcontrol.github.io/ClarabelDocs/stable/,5.0,133.0,48.0,2025-02-02 20:51:00.000,0.10.0,16.0,29.0,"['gha', 'julia']",,,,,,,,,,,,,,3.0,,,,,,,,
75,MadNLP,ops,,MadNLP/MadNLP.jl,MIT,A solver for nonlinear programming with GPU support.,https://github.com/MadNLP/MadNLP.jl,https://github.com/MadNLP/MadNLP.jl,2020-09-16 23:07:35,2025-02-13 07:51:31.000000,2025-02-13 07:46:06,501.0,16.0,40.0,179.0,15.0,16,True,https://madnlp.github.io/MadNLP.jl/stable/,11.0,319.0,52.0,2025-01-10 13:18:45.000,0.8.5,22.0,24.0,"['gha', 'julia']",,,,,,,,,,,,,,3.0,,,,,,,,
76,SimBench,data,,e2nIEE/simbench,odbl-1.0,Benchmark dataset of German LV/MV/HV grids including 15min time series for 1 year.,https://github.com/e2nIEE/simbench,https://simbench.de/en/,2019-05-13 14:10:08,2025-02-04 12:59:58.000000,2025-02-04 12:59:51,143.0,29.0,3.0,113.0,4.0,16,True,https://simbench.readthedocs.io/en/stable/?badge=stable,7.0,22.0,29.0,2024-04-23 14:13:23.000,.1.5.3,9.0,1.0,"['python', 'pypi', 'juptyer', 'gha']",simbench,,,2240.0,50.0,43.0,https://pypi.org/project/simbench,2024-04-23 13:51:51.000,7.0,2240.0,,,,3.0,,,,,,,,
77,CIMpy,intf,,sogno-platform/cimpy,MPL-2.0,CIM files to the XML/RDF format.,https://github.com/sogno-platform/cimpy,https://github.com/sogno-platform/cimpy,2020-01-29 08:22:48,2025-01-18 18:48:04.000000,2025-01-04 18:15:07,220.0,23.0,12.0,56.0,11.0,16,True,https://sogno.energy/cimpy/,4.0,27.0,12.0,2024-06-20 20:41:41.000,1.1.0,9.0,6.0,"['gha', 'python']",cimpy,,,480.0,9.0,8.0,https://pypi.org/project/cimpy,2024-06-20 20:41:41.000,1.0,480.0,,,,2.0,,,,,,,,
78,AltDSS/DSS C-API,intf,,dss-extensions/dss_capi,BSD-3,a plain C interface to OpenDSS.,https://github.com/dss-extensions/dss_capi,https://dss-extensions.org/,2017-12-18 14:45:11,2024-12-20 06:05:49.000000,2024-07-11 18:58:44,2411.0,13.0,16.0,34.0,8.0,16,True,https://dss-extensions.org/dss-extensions/pascal/,8.0,12.0,103.0,2024-03-29 04:28:39.000,0.14.5,68.0,,['gha'],,,26036.0,309.0,,,,,,,,,,2.0,,,,,,,,True
79,PowerSimulationsDynamics.jl,phasor,,NREL-Sienna/PowerSimulationsDynamics.jl,BSD-3,Dynamic Power System simulations; NREL Sienna.,https://github.com/NREL-Sienna/PowerSimulationsDynamics.jl,https://www.nrel.gov/analysis/sienna.html,2020-07-16 19:36:16,2024-10-21 23:52:13.000000,2024-10-21 23:36:52,2413.0,45.0,44.0,192.0,15.0,15,True,https://nrel-sienna.github.io/PowerSimulationsDynamics.jl/stable,14.0,241.0,90.0,2024-06-05 04:15:13.000,0.14.2,41.0,,"['gha', 'julia']",,,,,,,,,,,,,,2.0,,,,,,,,
80,EGRET,steady-state,,grid-parity-exchange/Egret,BSD,Tools for Power Systems Optimization Modeling.,https://github.com/grid-parity-exchange/Egret,https://github.com/grid-parity-exchange/Egret,2019-01-28 18:41:03,2025-02-04 01:01:11.000000,2025-02-04 01:01:11,1065.0,49.0,45.0,136.0,38.0,15,True,,14.0,234.0,38.0,2023-04-03 23:11:48.000,0.5.5,6.0,4.0,"['gha', 'python']",,,,,9.0,9.0,,,,,,,,3.0,,,,,,,,
81,ReEDS-2.0,steady-state,,NREL/ReEDS-2.0,GPL-3.0,Capacity planning and dispatch model.,https://github.com/NREL/ReEDS-2.0,https://www.nrel.gov/analysis/reeds/,2019-05-28 15:57:01,2025-02-17 19:01:31.000000,2025-02-11 21:21:02,88.0,59.0,3.0,134.0,14.0,15,True,https://www.nrel.gov/docs/fy21osti/78195.pdf,137.0,37.0,21.0,2025-01-23 22:01:43.000,2025.0.0,8.0,11.0,['python'],,,,,,,,,,,,,,3.0,,,,,,,,
82,dGen,dataman,,NREL/dgen,BSD-3,The Distributed Generation Market Demand (dGen) model.,https://github.com/NREL/dgen,https://github.com/NREL/dgen,2020-04-15 15:51:02,2025-02-17 23:15:35.000000,2024-12-18 16:04:01,125.0,150.0,16.0,61.0,7.0,15,True,https://nrel.github.io/dgen/,20.0,17.0,19.0,2024-12-18 17:32:05.000,2.0.0,2.0,15.0,"['python', 'jupyter']",,,,,,,,,,,,,,1.0,,,,,,,,
83,Easy SimAuto,intf,,mzy2240/ESA,Apache-2.0,Python interface to PowerWorld.,https://github.com/mzy2240/ESA,https://github.com/mzy2240/ESA,2019-10-08 21:37:23,2025-01-16 22:58:54.000000,2025-01-16 22:58:54,665.0,13.0,15.0,45.0,12.0,15,True,https://mzy2240.github.io/ESA/html/index.html,5.0,17.0,85.0,2023-06-05 21:19:00.512,1.3.5,52.0,2.0,"['pypi', 'python']",esa,,,1068.0,7.0,6.0,https://pypi.org/project/esa,2022-05-21 02:37:41.000,1.0,1068.0,,,,2.0,-1.0,,,,,,,
84,PyDSS,intf,,NREL/PyDSS,BSD-3,A Python wrapper for OpenDSS.,https://github.com/NREL/PyDSS,https://www.nrel.gov/grid/pydss.html,2018-10-16 15:59:07,2025-02-12 18:48:57.000000,2024-09-30 20:12:32,958.0,21.0,17.0,36.0,27.0,15,True,https://nrel.github.io/PyDSS/index.html,9.0,122.0,16.0,2024-05-29 18:05:37.000,3.1.7,21.0,,"['gha', 'pypi', 'python']",pydss,,,37.0,2.0,2.0,https://pypi.org/project/pydss,2011-08-17 20:40:53.000,,37.0,,,,2.0,,,,,,,,
85,PowerNetworkMatrices.jl,steady-state,,NREL-Sienna/PowerNetworkMatrices.jl,BSD-3,Power systems matrices; NREL Sienna.,https://github.com/NREL-Sienna/PowerNetworkMatrices.jl,https://www.nrel.gov/analysis/sienna.html,2022-11-16 21:59:51,2025-02-18 22:27:16.000000,2025-02-05 16:14:06,620.0,15.0,19.0,22.0,8.0,15,True,https://nrel-sienna.github.io/PowerNetworkMatrices.jl/stable/,5.0,52.0,26.0,2025-02-05 16:31:09.000,0.12.1,29.0,33.0,"['gha', 'julia']",,,,,,,,,,,,,,3.0,,,,,,,,
86,Open RAO,steady-state,,powsybl/powsybl-open-rao,MPL-2.0,Power systems coordinated capacity calculation and security analysis.,https://github.com/powsybl/powsybl-open-rao,https://www.powsybl.org,2018-11-22 10:41:50,2025-02-20 13:44:28.000000,2025-02-20 08:14:48,990.0,8.0,34.0,18.0,35.0,15,True,https://powsybl.readthedocs.io/projects/openrao/en/stable/?badge=stable,4.0,1150.0,98.0,2025-02-13 09:35:15.000,6.2.2,78.0,49.0,"['gha', 'java']",,,52.0,0.0,,,,,,,,,,3.0,,,,,,,,
87,LTB AMS,steady-state,,CURENT/ams,GPL-3,Scheduling Modeling and Simulation; CURENT LTB.,https://github.com/CURENT/ams,https://ltb.curent.org/,2022-10-05 11:57:30,2025-02-03 02:15:00.000000,2025-02-02 15:30:49,2172.0,6.0,1.0,9.0,4.0,15,True,https://ams.readthedocs.io/en/latest/,2.0,112.0,2.0,2025-02-02 14:00:24.000,1.0.3a1,24.0,189.0,"['gha', 'azure', 'pypi', 'conda', 'jupyter', 'python']",ltbams,conda-forge/ltbams,9.0,1730.0,3.0,3.0,https://pypi.org/project/ltbams,2025-02-02 13:59:53.000,,923.0,https://anaconda.org/conda-forge/ltbams,2025-02-02 12:41:17.654,9683.0,3.0,-1.0,,,,,,,
88,OpenDER,phasor,,epri-dev/OpenDER,BSD-3,Inverter-based DER simulation.,https://github.com/epri-dev/OpenDER,https://www.epri.com/OpenDER,2022-04-26 22:09:28,2025-01-16 17:48:40.000000,2025-01-16 17:48:40,123.0,22.0,,58.0,2.0,14,True,,18.0,13.0,1.0,2025-01-14 13:32:09.000,2.1.6,14.0,3.0,"['pypi', 'jupyter', 'python']",opender,,,1095.0,3.0,3.0,https://pypi.org/project/opender,2025-01-14 13:32:09.000,,1095.0,,,,2.0,-1.0,,,,,,,
89,STEPS,phasor,,changgang/steps,MIT,Balanced large-scale AC-DC hybrid power system analysis.,https://github.com/changgang/steps,https://github.com/changgang/steps,2019-08-24 12:09:47,2024-09-22 02:32:39.000000,2024-03-24 14:56:04,588.0,19.0,1.0,49.0,4.0,14,True,https://github.com/changgang/steps/wiki/,5.0,,2.0,2024-09-22 02:32:39.000,2.2.1,44.0,,"['c', 'python']",stepspy,,47.0,475.0,7.0,7.0,https://pypi.org/project/stepspy,2024-09-22 02:32:39.000,,475.0,,,,2.0,,,,,,,,
90,PowerGraphics.jl,vis,,NREL-Sienna/powergraphics.jl,BSD-3,Visualization for PowerSimulations; NREL Sienna.,https://github.com/NREL-Sienna/PowerGraphics.jl,https://www.nrel.gov/analysis/sienna.html,2020-02-19 23:29:27,2024-12-17 23:29:14.000000,2024-12-17 22:59:31,573.0,17.0,16.0,30.0,9.0,14,True,https://nrel-sienna.github.io/PowerGraphics.jl/stable/,10.0,82.0,23.0,2024-12-17 23:22:36.000,0.19.0,42.0,7.0,"['gha', 'julia', 'jupyter']",,,,,,,,,,,,,,3.0,,,,,,,,
