,name,category,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,labels,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,trending,updated_github_id
43,PowerGenome,steady-state,,PowerGenome/PowerGenome,MIT,Create inputs for power systems models.,https://github.com/PowerGenome/PowerGenome,https://groups.io/g/powergenome,2019-07-18 17:33:40.000,2024-05-15 17:00:58.000000,2024-05-14 20:54:13,1751.0,153.0,61.0,72.0,194.0,17.0,21,True,https://github.com/PowerGenome/PowerGenome/wiki,19.0,196.0,77.0,2024-05-14 20:58:08.000,0.6.3,18.0,"['gha', 'pypi', 'conda', 'python']",PowerGenome,conda-forge/powergenome,,231.0,,,https://pypi.org/project/PowerGenome,2024-05-14 20:58:08.000,,184.0,https://anaconda.org/conda-forge/powergenome,2024-01-02 04:04:47.685,190.0,2.0,,,,,,,
44,OpenDSSDirect.py,intf,,dss-extensions/OpenDSSDirect.py,MIT,A direct library interface to OpenDSS.,https://github.com/dss-extensions/OpenDSSDirect.py,https://dss-extensions.org/,2017-06-20 19:18:22.000,2024-03-29 06:05:46.000000,2024-03-29 05:10:43,451.0,6.0,21.0,15.0,81.0,3.0,21,True,https://dss-extensions.org/OpenDSSDirect.py/,14.0,31.0,88.0,2024-03-29 06:18:05.000,0.9.4,43.0,"['gha', 'pypi', 'python', 'jupyter']",OpenDSSDirect.py,,,3606.0,70.0,54.0,https://pypi.org/project/OpenDSSDirect.py,2021-03-11 01:53:34.000,16.0,3606.0,,,,1.0,,,,,,,
45,PyPowSyBl,steady-state,,powsybl/pypowsybl,MPL-2.0,A PowSyBl and Python integration.,https://github.com/powsybl/pypowsybl,https://www.powsybl.org,2020-11-09 10:30:33.000,2024-05-30 15:12:52.000000,2024-05-28 08:01:39,564.0,33.0,9.0,51.0,51.0,22.0,20,True,https://pypowsybl.readthedocs.io/en/latest/,18.0,582.0,132.0,2024-05-21 09:35:48.000,1.5.1,36.0,"['gha', 'pypi', 'python', 'java', 'jupyter']",pypowsybl,,,2428.0,7.0,,https://pypi.org/project/pypowsybl,2024-05-21 09:35:48.000,7.0,2428.0,,,,2.0,,,,,,,
46,PYPOWER,steady-state,,rwl/PYPOWER,BSD,Port of MATPOWER to Python.,https://github.com/rwl/PYPOWER,rwl.github.io/PYPOWER/api/,2009-05-22 12:14:47.000,2023-07-06 21:40:30.000000,2023-03-29 15:07:00,351.0,,110.0,30.0,314.0,20.0,19,True,http://rwl.github.io/PYPOWER/index.html,25.0,44.0,11.0,2023-03-29 15:17:01.097,5.1.16,17.0,"['gha', 'pypi', 'conda', 'python']",PYPOWER,invenia/pypower,,6858.0,119.0,106.0,https://pypi.org/project/PYPOWER,2023-03-29 15:17:01.097,13.0,6820.0,https://anaconda.org/invenia/pypower,2023-06-16 13:21:19.108,3147.0,2.0,hwanghust/pypower,https://hub.docker.com/r/hwanghust/pypower,2019-05-19 07:28:05.197725,17.0,,,
47,GenX,steady-state,,GenXProject/GenX,GPL-2.0,Configurable capacity expansion model.,https://github.com/GenXProject/GenX.jl,https://energy.mit.edu/genx/,2021-05-19 17:57:57.000,2024-05-22 22:19:46.000000,2024-05-06 00:40:06,1018.0,103.0,97.0,43.0,250.0,32.0,19,True,https://genxproject.github.io/GenX/dev/,18.0,455.0,203.0,2024-05-07 14:33:26.000,0.4.0,12.0,['julia'],,,,,,,,,,,,,,2.0,,,,,,,GenXProject/GenX.jl
48,DPsim,emt,,sogno-platform/dpsim,MPL-2.0,Simulation for both EMT and phasor.,https://github.com/sogno-platform/dpsim,https://dpsim.fein-aachen.org/,2020-01-29 08:49:59.000,2024-05-29 12:03:35.000000,2024-05-20 10:45:08,4481.0,20.0,48.0,83.0,64.0,32.0,19,True,https://dpsim.fein-aachen.org/docs/,9.0,181.0,52.0,2023-07-13 13:38:01.948,1.1.1,9.0,"['gha', 'pypi', 'jupyter', 'python', 'c']",dpsim,,,51.0,6.0,6.0,https://pypi.org/project/dpsim,2022-12-10 09:56:59.646,,51.0,,,,1.0,,,,,,,
49,py-dss-interface,intf,,PauloRadatz/py_dss_interface,MIT,A package for access to direct dll version of OpenDSS.,https://github.com/PauloRadatz/py_dss_interface,https://github.com/PauloRadatz/py_dss_interface,2020-06-12 18:58:36.000,2024-05-06 12:38:42.000000,2024-05-06 12:38:22,542.0,13.0,8.0,32.0,24.0,6.0,19,True,https://py-dss-interface.readthedocs.io/en/latest/,6.0,48.0,21.0,2024-03-21 00:57:23.000,2.0.4,19.0,"['gha', 'pypi', 'python', 'jupyter']",py-dss-interface,,,523.0,30.0,26.0,https://pypi.org/project/py-dss-interface,2024-03-21 00:57:23.000,4.0,523.0,,,,1.0,,,,,,,
50,GridPath,steady-state,,blue-marble/gridpath,Apache-2,Power system planning and operations.,https://github.com/blue-marble/gridpath,https://www.gridpath.io/,2016-08-12 18:13:28.000,2024-05-21 06:42:05.000000,2024-05-07 21:37:52,1443.0,6.0,34.0,72.0,89.0,10.0,18,True,https://gridpath.readthedocs.io/en/latest/?badge=latest,12.0,799.0,256.0,2024-02-28 18:05:07.000,2024.1.0,25.0,"['gha', 'python']",GridPath,,821.0,66.0,2.0,2.0,https://pypi.org/project/GridPath,2024-02-28 18:05:07.000,,49.0,,,,3.0,,,,,,-1.0,
51,PowSyBl Diagram,vis,,powsybl/powsybl-diagram,MPL-2.0,single-line substation diagrams and network graph diagrams.,https://github.com/powsybl/powsybl-diagram,https://www.powsybl.org,2019-10-11 11:25:46.000,2024-05-30 10:15:06.000000,2024-05-24 15:59:49,479.0,22.0,12.0,55.0,69.0,24.0,18,True,https://www.powsybl.org/pages/documentation/developer/api_guide/svg-writing.html,20.0,460.0,102.0,2024-04-05 14:38:23.000,4.4.0,43.0,"['gha', 'java', 'jupyter']",,,,,23.0,23.0,,,,,,,,1.0,,,,,,,
52,PIQP,ops,,PREDICT-EPFL/piqp,BSD-2,Proximal Interior Point Quadratic Programming solver.,https://github.com/PREDICT-EPFL/piqp,https://github.com/PREDICT-EPFL/piqp,2023-01-25 13:55:12.000,2024-05-29 21:31:54.000000,2024-05-29 21:31:45,295.0,33.0,10.0,4.0,58.0,2.0,18,True,https://predict-epfl.github.io/piqp/,6.0,1.0,2.0,2024-05-24 23:38:56.000,0.3.1,11.0,"['gha', 'pypi', 'conda', 'python', 'c', 'octave', 'r']",piqp,conda-forge/piqp,97.0,16687.0,20.0,12.0,https://pypi.org/project/piqp,2024-05-24 23:38:56.000,8.0,14737.0,https://anaconda.org/conda-forge/piqp,2024-05-25 13:13:45.364,17480.0,3.0,,,,,,1.0,
53,PyPSA-USA,steady-state,,PyPSA/pypsa-usa,MIT,Power System Model for the United States.,https://github.com/PyPSA/pypsa-usa,https://pypsa.org,2022-06-07 15:13:26.000,2024-05-28 21:17:13.000000,2024-05-13 20:14:16,1444.0,349.0,11.0,86.0,29.0,8.0,18,True,https://pypsa-usa.readthedocs.io/,4.0,135.0,132.0,2024-04-24 16:14:19.000,0.1.0,2.0,['python'],,,,,,,,,,,,,,3.0,,,,,,,
54,PowerModels.jl,steady-state,,lanl-ansi/PowerModels.jl,BSD,Power Network Optimization.,https://github.com/lanl-ansi/PowerModels.jl,https://github.com/lanl-ansi/PowerModels.jl,2016-08-01 20:30:54.000,2024-04-17 05:23:02.000000,2024-04-17 05:20:06,979.0,2.0,138.0,87.0,372.0,29.0,17,True,https://lanl-ansi.github.io/PowerModels.jl/stable/,27.0,433.0,392.0,2024-03-16 16:54:57.000,0.21.1,76.0,"['gha', 'julia']",,,,,,,,,,,,,,3.0,,,,,,,
55,RSOME,opl,,XiongPengNUS/rsome,GPL-3,Robust Stochastic Optimization Made Easy.,https://github.com/XiongPengNUS/rsome,https://github.com/XiongPengNUS/rsome,2020-07-26 13:00:05.000,2024-01-19 06:13:34.000000,2024-01-19 06:13:26,212.0,,51.0,5.0,259.0,3.0,17,True,https://xiongpengnus.github.io/rsome/,4.0,20.0,35.0,2024-01-19 06:11:10.000,1.2.6,32.0,"['gha', 'pypi', 'jupyter', 'python']",rsome,,,1862.0,1.0,,https://pypi.org/project/rsome,2024-01-19 06:11:10.000,1.0,1862.0,,,,3.0,,,,,,,
56,PowerSimulationsDynamics.jl,phasor,,NREL-Sienna/PowerSimulationsDynamics.jl,BSD-3,Dynamic Power System simulations; NREL Sienna.,https://github.com/NREL-Sienna/PowerSimulationsDynamics.jl,https://www.nrel.gov/analysis/sienna.html,2020-07-16 19:36:16.000,2024-05-30 13:29:04.000000,2024-05-28 15:15:52,2403.0,7.0,35.0,42.0,162.0,13.0,17,True,https://nrel-sienna.github.io/PowerSimulationsDynamics.jl/stable,14.0,227.0,88.0,2024-03-29 18:44:47.000,0.14.1,40.0,"['gha', 'julia']",,,,,,,,,,,,,,2.0,,,,,,,
57,GridLAB-D,phasor,,gridlab-d/gridlab-d,https://github.com/gridlab-d/gridlab-d/blob/master/LICENSE,Distribution power system simulator.,https://github.com/gridlab-d/gridlab-d,https://www.gridlabd.org/,2016-08-29 17:43:21.000,2024-05-30 17:58:48.000000,2024-02-22 22:43:24,4394.0,,103.0,325.0,147.0,74.0,17,True,https://gridlab-d.shoutwiki.com/wiki/Source_documentation,24.0,146.0,1004.0,2023-10-12 23:32:11.000,5.2,6.0,['c'],,,3602.0,48.0,,,,,,,,,,2.0,,,,,,,
58,OpenIPSL,phasor,,OpenIPSL/OpenIPSL,BSD-3,A library of power system models.,https://github.com/OpenIPSL/OpenIPSL,https://github.com/OpenIPSL/OpenIPSL,2016-04-16 09:09:47.000,2024-03-18 08:43:49.000000,2024-02-12 10:58:40,1771.0,,47.0,16.0,70.0,32.0,17,True,https://doc.openipsl.org,21.0,226.0,100.0,2022-06-23 13:05:59.000,3.0.1,15.0,"['gha', 'modelica']",,,484.0,5.0,,,,,,,,,,2.0,,,,,,,
59,Easy SimAuto,intf,,mzy2240/ESA,Apache-2.0,Python interface to PowerWorld.,https://github.com/mzy2240/ESA,https://github.com/mzy2240/ESA,2019-10-08 21:37:23.000,2024-03-08 19:38:09.000000,2023-06-05 21:15:21,663.0,,10.0,15.0,41.0,11.0,17,True,https://mzy2240.github.io/ESA/html/index.html,5.0,16.0,85.0,2023-06-05 21:19:00.512,1.3.5,52.0,"['pypi', 'python']",esa,,,1714.0,5.0,4.0,https://pypi.org/project/esa,2022-05-21 02:37:41.000,1.0,1714.0,,,,2.0,,,,,,,
60,Clarabel.jl,ops,,oxfordcontrol/Clarabel.jl,Apache-2.0,Interior-point solver for convex conic optimisation in Julia.,https://github.com/oxfordcontrol/Clarabel.jl,https://github.com/oxfordcontrol/Clarabel.jl,2021-11-09 14:28:22.000,2024-05-28 18:54:33.000000,2024-05-22 07:58:07,830.0,22.0,16.0,2.0,157.0,11.0,16,True,https://oxfordcontrol.github.io/ClarabelDocs/stable/,5.0,123.0,44.0,2024-05-22 07:59:33.000,0.8.1,14.0,"['gha', 'julia']",,,,,,,,,,,,,,3.0,,,,,,,
61,PyDSS,intf,,NREL/PyDSS,BSD-3,A Python wrapper for OpenDSS.,https://github.com/NREL/PyDSS,https://www.nrel.gov/grid/pydss.html,2018-10-16 15:59:07.000,2024-05-29 18:05:37.000000,2024-05-29 18:04:13,937.0,81.0,18.0,16.0,32.0,24.0,16,True,https://nrel.github.io/PyDSS/index.html,9.0,120.0,16.0,2024-05-29 18:05:37.000,3.1.7,21.0,"['gha', 'pypi', 'python']",pydss,,,19.0,,,https://pypi.org/project/pydss,2011-08-17 20:40:53.000,,19.0,,,,2.0,,,,,,-1.0,
62,PyOptInterface,opl,,metab0t/PyOptInterface,MPL-2.0,Efficient modeling interface for optimization in Python.,https://github.com/metab0t/PyOptInterface,https://github.com/metab0t/PyOptInterface,2023-06-13 16:11:33.000,2024-05-30 03:46:54.000000,2024-05-30 03:33:33,235.0,61.0,2.0,,105.0,1.0,15,True,https://metab0t.github.io/PyOptInterface/,3.0,,1.0,2024-05-30 03:46:54.000,0.2.3,6.0,"['gha', 'pypi', 'jupyter', 'python']",pyoptinterface,,,1226.0,1.0,1.0,https://pypi.org/project/pyoptinterface,2024-05-30 03:46:54.000,,1226.0,,,,3.0,,,,,,,
63,ExaGO,steady-state,,pnnl/ExaGO,BSD-3,Large-scale power grid optimization.,https://github.com/pnnl/ExaGO,https://www.gridpath.io/,2023-08-02 21:05:34.000,2024-05-30 17:32:22.000000,2024-05-23 19:23:56,1145.0,11.0,9.0,47.0,56.0,28.0,15,True,https://github.com/pnnl/ExaGO/blob/develop/docs/manual/manual.pdf,11.0,70.0,31.0,2023-10-25 18:01:10.000,1.6.0,1.0,"['gha', 'jupyter', 'c']",,,,,,,,,,,,,,3.0,,,,,,,
64,matpower-pip,steady-state,,yasirroni/matpower-pip,MIT,Easy Python Access to MATPOWER.,https://github.com/yasirroni/matpower-pip,https://matpower.org/,2021-12-27 15:47:13.000,2024-05-29 08:09:41.000000,2024-05-27 04:03:56,153.0,11.0,,2.0,17.0,,15,True,https://matpower.org/doc/,4.0,4.0,11.0,2024-05-27 04:06:34.000,2.1.7,18.0,"['gha', 'pypi', 'python']",matpower,,,551.0,7.0,5.0,https://pypi.org/project/matpower,2024-05-27 07:17:52.000,2.0,551.0,,,,3.0,,,,,,3.0,
65,Open RAO,steady-state,,powsybl/powsybl-open-rao,MPL-2.0,Power systems coordinated capacity calculation and security analysis.,https://github.com/powsybl/powsybl-open-rao,https://www.powsybl.org,2018-11-22 10:41:50.000,2024-05-30 15:21:12.000000,2024-05-30 15:21:07,853.0,88.0,4.0,19.0,13.0,31.0,15,True,https://powsybl.readthedocs.io/projects/openrao/en/stable/?badge=stable,3.0,975.0,30.0,2024-05-24 09:25:37.000,5.5.1,66.0,"['gha', 'java']",,,35.0,0.0,,,,,,,,,,3.0,,,,,,,
66,LTB AMS,steady-state,,CURENT/ams,GPL-3,Dispatch Modeling and Simulation; CURENT LTB.,https://github.com/CURENT/ams,https://ltb.curent.org/,2022-10-05 11:57:30.000,2024-05-25 03:52:19.479000,2024-05-24 19:44:01,1621.0,284.0,3.0,,5.0,3.0,15,True,https://ams.readthedocs.io/en/latest/,2.0,80.0,2.0,2024-05-24 19:47:50.000,0.9.7,11.0,"['gha', 'azure', 'pypi', 'conda', 'jupyter', 'python']",ltbams,conda-forge/ltbams,,548.0,,,https://pypi.org/project/ltbams,2024-05-24 19:47:50.000,,188.0,https://anaconda.org/conda-forge/ltbams,2024-05-25 03:52:19.479,1081.0,3.0,,,,,,,
67,EGRET,steady-state,,grid-parity-exchange/Egret,BSD,Tools for Power Systems Optimization Modeling.,https://github.com/grid-parity-exchange/Egret,https://github.com/grid-parity-exchange/Egret,2019-01-28 18:41:03.000,2024-02-16 17:44:40.000000,2023-11-14 21:40:03,1061.0,,46.0,44.0,122.0,38.0,14,True,,13.0,233.0,38.0,2023-04-03 23:11:48.000,0.5.5,6.0,"['gha', 'python']",,,,,6.0,6.0,,,,,,,,3.0,,,,,,,
68,GasModels.jl,gasnet,,lanl-ansi/GasModels.jl,BSD-3,Gas Network Optimization.,https://github.com/lanl-ansi/GasModels.jl,https://github.com/lanl-ansi/GasModels.jl,2016-08-29 16:01:10.000,2024-05-15 21:29:35.000000,2024-05-15 21:26:39,1041.0,3.0,15.0,48.0,64.0,13.0,14,True,https://lanl-ansi.github.io/GasModels.jl/latest/,10.0,114.0,98.0,2024-01-31 06:38:45.000,0.10.0,21.0,"['gha', 'julia']",,,,,,,,,,,,,,3.0,,,,,,,
69,PowerSystems,phasor,,modelica-3rdparty/PowerSystems,https://modelica.org/licenses/ModelicaLicense2/,Modelica 3rd party library for electrical power systems.,https://github.com/modelica-3rdparty/PowerSystems,https://github.com/modelica-3rdparty/PowerSystems,2013-04-19 08:46:45.000,2024-05-07 09:11:07.000000,2024-05-07 08:58:45,190.0,1.0,35.0,11.0,59.0,10.0,14,True,https://build.openmodelica.org/Documentation/PowerSystems.html,30.0,17.0,27.0,2024-05-07 09:11:07.000,2.0.0,7.0,['modelica'],,,,,,,,,,,,,,3.0,,,,,,,
70,MOST,steady-state,,MATPOWER/most,BSD-3,MATPOWER Optimal Scheduling Tool.,https://github.com/MATPOWER/most,https://matpower.org/,2016-12-16 19:10:43.000,2024-05-29 21:29:16.000000,2024-05-22 00:08:06,227.0,11.0,10.0,6.0,31.0,,14,True,https://github.com/MATPOWER/most/blob/master/docs/MOST-manual.pdf,6.0,9.0,31.0,2024-05-15 22:02:10.000,1.3,5.0,"['gha', 'octave']",,,,,,,,,,,,,,3.0,,,,,,,
71,KVXOPT,opl,,sanurielf/kvxopt,GPL-3,CVXOPT with more wrappers suite-sparse.,https://github.com/sanurielf/kvxopt,https://github.com/sanurielf/kvxopt,2014-03-17 19:08:31.000,2024-05-09 00:25:44.270000,2024-05-08 15:53:33,276.0,11.0,1.0,,10.0,18.0,14,True,https://sanurielf.github.io/kvxopt/userguide/,3.0,4.0,7.0,2023-10-16 05:45:01.000,1.3.2.0,19.0,"['gha', 'pypi', 'conda', 'python']",kvxopt,conda-forge/kvxopt,,6562.0,33.0,21.0,https://pypi.org/project/kvxopt,2024-05-08 16:49:17.000,12.0,2763.0,https://anaconda.org/conda-forge/kvxopt,2024-05-09 00:25:44.270,117776.0,3.0,,,,,,,
72,PowerGraphics.jl,vis,,NREL-Sienna/powergraphics.jl,BSD-3,Visualization for PowerSimulations; NREL Sienna.,https://github.com/NREL-Sienna/PowerGraphics.jl,https://www.nrel.gov/analysis/sienna.html,2020-02-19 23:29:27.000,2024-02-26 23:21:16.000000,2024-02-26 22:56:20,555.0,,10.0,14.0,29.0,9.0,13,True,https://nrel-sienna.github.io/PowerGraphics.jl/stable/,10.0,80.0,23.0,2024-02-26 23:15:58.000,0.17.2,40.0,"['gha', 'julia', 'jupyter']",,,,,,,,,,,,,,3.0,,,,,,,
73,PowerNetworkMatrices.jl,steady-state,,NREL-Sienna/PowerNetworkMatrices.jl,BSD-3,Power systems matrices; NREL Sienna.,https://github.com/NREL-Sienna/PowerNetworkMatrices.jl,https://www.nrel.gov/analysis/sienna.html,2022-11-16 21:59:51.000,2024-05-29 03:54:06.000000,2024-05-29 03:49:15,573.0,3.0,6.0,15.0,19.0,4.0,13,True,https://nrel-sienna.github.io/PowerNetworkMatrices.jl/stable/,4.0,43.0,21.0,2024-05-28 22:32:22.000,0.10.3,25.0,"['gha', 'julia']",,,,,,,,,,,,,,3.0,,,,,,,
74,ReEDS-2.0,steady-state,,NREL/ReEDS-2.0,GPL-3.0,Capacity planning and dispatch model.,https://github.com/NREL/ReEDS-2.0,https://www.nrel.gov/analysis/reeds/,2019-05-28 15:57:01.000,2024-05-02 19:09:04.000000,2024-05-02 19:08:20,63.0,4.0,13.0,4.0,114.0,13.0,12,True,https://www.nrel.gov/docs/fy21osti/78195.pdf,140.0,24.0,14.0,2024-05-02 19:09:04.000,2024.3.0,4.0,['python'],,,,,,,,,,,,,,3.0,,,,,,,
75,STEPS,phasor,,changgang/steps,MIT,Balanced large-scale AC-DC hybrid power system analysis.,https://github.com/changgang/steps,https://github.com/changgang/steps,2019-08-24 12:09:47.000,2024-04-17 05:31:50.000000,2024-03-24 14:56:04,588.0,21.0,17.0,,45.0,4.0,12,True,https://github.com/changgang/steps/wiki/,4.0,,2.0,2023-10-16 12:20:36.000,2.0.0,5.0,['c'],,,25.0,0.0,5.0,5.0,,,,,,,,3.0,,,,,,,
76,GridPACK,phasor,,GridOPTICS/GridPACK,https://github.com/GridOPTICS/GridPACK/blob/develop/docs/markdown/LICENSE.md,High-Performance Electric Grid Simulation.,https://github.com/GridOPTICS/GridPACK,https://www.gridpack.org/,2014-07-22 21:01:57.000,2024-05-29 21:02:43.000000,2024-05-09 12:39:06,3115.0,2.0,18.0,30.0,39.0,50.0,12,True,https://github.com/GridOPTICS/GridPACK/blob/develop/docs/user_manual/GridPACK.pdf,18.0,84.0,98.0,2020-01-31 21:18:21.000,3.4,5.0,,,,595.0,6.0,,,,,,,,,,3.0,,,,,,,
77,grg-pssedata,intf,,lanl-ansi/grg-pssedata,BSD-3,Python tools for working with PSSE v33 data files.,https://github.com/lanl-ansi/grg-pssedata,https://github.com/lanl-ansi/grg-pssedata,2018-05-26 20:24:25.000,2020-12-15 03:35:19.000000,2020-12-14 22:39:36,35.0,,11.0,3.0,30.0,3.0,12,True,https://grg-pssedata.readthedocs.io/en/stable/,6.0,5.0,10.0,2020-12-15 03:35:19.000,0.1.4,7.0,"['pypi', 'python']",grg-pssedata,,,49.0,5.0,4.0,https://pypi.org/project/grg-pssedata,2020-12-15 03:35:19.000,1.0,49.0,,,,2.0,,,,,,,
78,CIMpy,intf,,sogno-platform/cimpy,MPL-2.0,CIM files to the XML/RDF format.,https://github.com/sogno-platform/cimpy,https://github.com/sogno-platform/cimpy,2020-01-29 08:22:48.000,2024-03-13 15:55:28.000000,2023-01-30 13:53:35,170.0,,14.0,5.0,50.0,10.0,11,True,https://sogno.energy/cimpy/,7.0,17.0,6.0,,,,"['gha', 'python']",,,,,5.0,5.0,,,,,,,,3.0,,,,,,,
79,OpenDER,phasor,,epri-dev/OpenDER,BSD-3,Inverter-based DER simulation.,https://github.com/epri-dev/OpenDER,https://www.epri.com/OpenDER,2022-04-26 22:09:28.000,2024-05-01 18:20:41.000000,2024-04-02 14:39:27,113.0,2.0,19.0,,49.0,2.0,11,True,,16.0,10.0,1.0,2024-04-02 14:41:16.000,2.1.4,12.0,"['pypi', 'jupyter', 'python']",opender,,,986.0,1.0,1.0,https://pypi.org/project/opender,2024-03-29 21:25:02.000,,986.0,,,,3.0,,,,,,,
80,DSSData,intf,,felipemarkson/dssdata,MIT,A micro-framework for simulation and data analysis of distribution systems modeled on OpenDSS.,https://github.com/felipemarkson/dssdata,https://github.com/felipemarkson/dssdata,2020-03-27 20:15:33.000,2023-04-10 13:02:09.000000,2023-04-10 13:02:03,186.0,,3.0,5.0,14.0,2.0,11,True,https://felipemarkson.github.io/dssdata/,3.0,64.0,31.0,2023-04-10 12:47:00.587,0.2.0,10.0,"['gha', 'pypi', 'python']",dssdata,,30.0,53.0,,,https://pypi.org/project/dssdata,2023-01-24 14:40:53.571,,53.0,,,,3.0,,,,,,,
81,PowerFlows.jl,steady-state,,NREL-Sienna/PowerFlows.jl,BSD-3,Collection of Power Flow solution; NREL Sienna.,https://github.com/NREL-Sienna/PowerFlows.jl,https://www.nrel.gov/analysis/sienna.html,2022-03-08 18:40:14.000,2024-03-19 17:56:52.000000,2024-02-07 18:39:58,121.0,,6.0,6.0,12.0,6.0,11,True,https://nrel-sienna.github.io/PowerFlows.jl/dev/,3.0,21.0,7.0,2024-02-07 18:54:55.000,0.6.2,12.0,"['gha', 'julia']",,,,,,,,,,,,,,3.0,,,,,,,
82,DeepSolar,data,,wangzhecheng/DeepSolar,MIT,Houseshold-level solar panel identification with deep learning.,https://github.com/wangzhecheng/DeepSolar,https://deepsolar.web.app,2017-06-24 23:09:16.000,2023-03-24 22:39:39.000000,2019-03-26 09:03:56,16.0,,66.0,13.0,242.0,2.0,9,True,,22.0,15.0,4.0,,,,['python'],,,,,,,,,,,,,,3.0,,,,,,,
83,RLGC,mrl,,RLGC-Project/RLGC,BSD,RL for Grid Control (RLGC).,https://github.com/RLGC-Project/RLGC,https://github.com/RLGC-Project/RLGC,2018-12-03 19:07:39.000,2022-04-08 07:14:43.000000,2022-04-08 07:12:43,90.0,,28.0,5.0,104.0,4.0,9,True,,4.0,3.0,10.0,2020-12-23 06:10:29.000,V1.0.0_RC,2.0,"['python', 'jupyter']",,,,,,,,,,,,,,3.0,,,,,,,
84,EV-EcoSim,steady-state,,ebalogun01/EV-EcoSim/,MIT,A grid-aware co-simulation platform for the design and optimization of EV Charging Infrastructure.,https://github.com/ebalogun01/EV-EcoSim,https://github.com/ebalogun01/EV-EcoSim,2021-01-13 18:55:38.000,2024-04-19 05:40:52.000000,2024-04-19 05:40:52,509.0,3.0,3.0,9.0,18.0,,9,True,https://ebalogun01.github.io/EV-EcoSim/,2.0,33.0,63.0,,,,"['gha', 'python']",,,,,,,,,,,,,,3.0,,,,,,,
85,LTB AGVis,vis,,CURENT/agvis,GPL-3.0,Geographical Visualization for Power Grid; CURENT LTB.,https://github.com/CURENT/agvis,https://ltb.curent.org/,2019-08-30 19:15:27.000,2024-05-13 17:36:12.000000,2024-04-18 03:05:54,494.0,3.0,6.0,9.0,7.0,9.0,9,True,https://agvis.readthedocs.io/en/latest/,1.0,48.0,16.0,2023-08-03 15:12:50.000,3.2.1,2.0,"['pypi', 'python']",agvis,,9.0,12.0,,,https://pypi.org/project/agvis,2023-04-26 18:46:02.373,,12.0,,,,3.0,,,,,,,
86,ParaEMT,emt,,NREL/ParaEMT_public,BSD-3,Parallel EMT simulation.,https://github.com/NREL/ParaEMT_public,https://github.com/NREL/ParaEMT_public,2023-06-08 12:43:21.000,2024-03-26 01:11:27.000000,2024-03-26 01:11:27,68.0,1.0,12.0,,32.0,3.0,8,True,,8.0,,,,,,['python'],,,,,,,,,,,,,,3.0,,,,,,,
87,LTB DiME,msg,,CURENT/dime,GPL-3.0,Distributed Messaging Environment; CURENT LTB.,https://github.com/CURENT/dime,https://ltb.curent.org/,2020-04-29 20:36:10.000,2023-07-31 21:24:25.000000,2023-07-31 21:24:15,531.0,,3.0,13.0,4.0,4.0,8,True,https://ltbdime.readthedocs.io/en/latest/,5.0,11.0,35.0,,,,"['c', 'python', 'octave']",,,,,,,,,,,,,,3.0,,,,,,,
88,PowerSAS.m,phasor,,ANL-CEEESA/powersas.m,BSD-3,Power grid analysis framework based on semi-analytical solutions.,https://github.com/ANL-CEEESA/powersas.m,https://github.com/ANL-CEEESA/powersas.m,2021-12-10 21:25:47.000,2024-01-05 12:21:48.000000,2024-01-05 12:21:48,75.0,,4.0,1.0,14.0,4.0,7,True,https://powersasm.readthedocs.io/en/latest/index.html,,6.0,,,,,['octave'],,,,,,,,,,,,,,3.0,,,,,,,
89,GSEIM,pe,,gseim/gseim,GPL-3.0,Simulation of electrical circuits.,https://github.com/gseim/gseim,https://github.com/gseim/gseim,2021-06-08 11:11:31.000,2023-08-19 17:28:29.000000,2023-08-19 17:26:55,52.0,,3.0,2.0,10.0,3.0,7,True,https://gseim.github.io/build/html/index.html,4.0,14.0,4.0,,,5.0,"['gha', 'pypi', 'python']",GSEIM,,,9.0,,,https://pypi.org/project/GSEIM,2022-07-16 09:00:00.315,,9.0,,,,1.0,,,,,,,
90,MPNG,gasnet,,MATPOWER/mpng,BSD-3,Simulator for Optimal Power and Natural Gas Flow.,https://github.com/MATPOWER/mpng,https://matpower.org/,2019-09-27 19:49:43.000,2023-09-13 12:15:23.000000,2023-09-13 12:15:23,65.0,,3.0,,9.0,3.0,7,True,https://github.com/MATPOWER/mpng/blob/master/MPNG_User's_Manual/MPNG_Manual_V0.99a.pdf,5.0,2.0,,,,,['octave'],,,,,,,,,,,,,,3.0,,,,,,,
91,OpenDER interface,intf,,epri-dev/OpenDER_interface,BSD-3,Interface for OpenDER.,https://github.com/epri-dev/OpenDER_interface,https://www.epri.com/OpenDER,2023-11-28 15:57:02.000,2024-04-09 21:13:33.000000,2024-04-09 21:13:27,45.0,10.0,,,,2.0,7,True,,10.0,,,,,,"['python', 'jupyter']",,,,,,,,,,,,,,3.0,,,,,,,
